	Tilletiopsis	Skeletocutis	Ustilaginoidea	Nakaseomyces	Robbauera	Cystobasidium	Corynespora	Starmerella	Fusicolla	Periconia	Millerozyma	Elsinoe	Issatchenkia	Cyberlindnera	Dekkera	Ceriporia	Eichleriella	Exserohilum	Septoria	Kluyveromyces	Saprochaete	Cystofilobasidium	Rhizopus	Metschnikowia	Candida	Debaryomyces	Rhodotorula	Exophiala	Neodevriesia	Peniophora	Wickerhamomyces	Coprinellus	Flavodon	Entyloma	Nakazawaea	Sterigmatomyces	Malassezia	Tulasnella	Torulaspora	Naganishia	Coleophoma	Cochliobolus	Sphaerodes	Sarocladium	Aureobasidium	Bullera	Nigrospora	Colletotrichum	Phaeosphaeria	Zygosaccharomyces	Fusarium	Mycosphaerella	Curvularia	Schizophyllum	Protomyces	Wickerhamiella	Penicillium	Barnettozyma	Vishniacozyma	Recurvomyces	Wallemia	Phomatospora	Toxicocladosporium	Hanseniaspora	Helvella	Trichosporon	Violaceomyces	Kazachstania	Meyerozyma	Trichothecium	Tilletia	Symmetrospora	Ascotricha	Venturia	Betamyces	Bipolaris	Blumeria	Neurospora	Saccharomyces	Dissoconium	Kockovaella	Gibberella	Alternaria	Sporobolomyces	Bezerromyces	Xenoacremonium	Stachybotrys	Aspergillus	Pichia	Talaromyces	Lasiodiplodia	Sympodiomycopsis	Cladosporium	Catenaria	Lachancea	Parengyodontium	Phanerochaete	Sporidiobolus	Cryptococcus	Syspastospora	Xeromyces
sample-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	2.0	250	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	10	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5828.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	10	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-12	0.0	0.0	2.0	0.0	15.0	0.0	0.0	149	0.0	0.0	0.0	0.0	275.0	0	0.0	0	0.0	15.0	0.0	0.0	0.0	0	0.0	0.0	1972	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0	43	0.0	0	0.0	10.0	0.0	20	28.0	0	0.0	8.0	0.0	0.0	0.0	0.0	6	0.0	18	0.0	0.0	3.0	0.0	0.0	0.0	0.0	8	46474.0	0.0	42.0	0.0	0.0	0.0	301	0.0	0.0	988.0	0.0	4700	0.0	0	0.0	0.0	0	0.0	0.0	1013.0	122.0	0.0	0.0	0.0	97.0
sample-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	45	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	18	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	337	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	4269.0	0.0	11.0	0.0	0.0	0.0	0	0.0	0.0	18.0	0.0	148	0.0	0	0.0	0.0	0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
sample-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	8.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	6620	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	93.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	16461.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	3.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
sample-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	12.0	8	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	6004.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	11	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1024.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5053.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	7	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	78	0.0	0	0.0	0.0	0.0	9	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5124.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	49.0	0.0	6	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
