	Chloroidium	Skermanella	Pinus	Dolosigranulum	Virgibacillus	Collinsella	Lachnoanaerobaculum	Aeromonas	Croceibacter	Parachlamydia	Emticicia	Opitutus	Ornatilinea	Pseudozobellia	Metallibacterium	Helicobacter	Niastella	Comamonas	Acetivibrio	Petrobacter	Dioscorea	Oxobacter	Cellulosilyticum	Fusobacterium	Woodsholea	Puniceicoccus	Marinosulfonomonas	Globicatella	Fibrobacter	Marinobacterium	Anaerovorax	Propionibacterium	Acidaminococcus	Anaeromyxobacter	Succinatimonas	Methylobacterium	Alteromonas	Asticcacaulis	Olivibacter	Lachnospira	Alloscardovia	Nordella	Tetragenococcus	Anaeroglobus	Bacteroides	Kofleria	Klebsiella	Buxus	Alterococcus	Castellaniella	Pyramidobacter	Pasteurella	Neisseria	Antarctobacter	Rubellimicrobium	Thalassolituus	Methanobrevibacter	Thermovirga	Salegentibacter	Pseudoalteromonas	Filomicrobium	Halomonas	Euzebya	Oscillochloris	Holdemania	Oceanobacillus	Moraxella	Duganella	Johnsonella	Buttiauxella	Parabacteroides	Lactococcus	Undibacterium	Rhodobacter	Dokdonella	Erythrobacter	Sandarakinorhabdus	Hyphomicrobium	Howardella	Myroides	Ewingella	Kouleothrix	Albidiferax	Ohtaekwangia	Fretibacterium	Synergistes	Terrimonas	Mesorhizobium	Vallitalea	Protochlamydia	Pontibacter	Wandonia	Melosira	Papillibacter	Dorea	Burkholderia	Oxalicibacterium	Hoeflea	Desulfobaculum	Turneriella	Erwinia	Petrimonas	Intestinimonas	Litorilinea	Buchnera	Cystobacter	Frateuria	Fluviimonas	Lentibacter	Schlegelella	Solobacterium	Mucilaginibacter	Syntrophomonas	Veillonella	Macellibacteroides	Odoribacter	Chryseobacterium	Alkaliphilus	Cloacibacillus	Tannerella	Rhizobium	Zavarzinella	Morganella	Peredibacter	Pseudoramibacter	Gracilibacter	Parvibacter	Proteus	Oscillospira	Rikenella	Luteolibacter	Cellulomonas	Faecalibacterium	Panacagrimonas	Ureibacillus	Polaribacter	Aerococcus	Solibacillus	Halioglobus	Solibius	Chitinophaga	Anaerofustis	Aggregatibacter	Devosia	Robinsoniella	Filimonas	Succinivibrio	Campylobacter	Pedobacter	Sporobacter	Nitrosopumilus	Gemella	Bradyrhizobium	Silanimonas	Tunicatimonas	Porphyromonas	Methanosaeta	Spirobacillus	Flavobacterium	Haliangium	Eggerthella	Rhodopseudomonas	Parasporobacterium	Aureimarina	Nitrospira	Pantoea	Azospirillum	Syntrophorhabdus	Megamonas	Roseobacter	Natranaerovirga	Actinobacillus	Ktedonobacter	Oligella	Marinobacter	Snodgrassella	Flavitalea	Krasilnikovia	Gemmobacter	Dethiobacter	Mesonia	Lutispora	Paenibacillus	Pediococcus	Roseburia	Pelomonas	Methanosphaera	Anaerosporobacter	Parasutterella	Nocardioides	Thermopolyspora	Piscinibacter	Acidaminobacter	Azoarcus	Peptoclostridium	Salmonella	Gemmatimonas	Anaerotruncus	Turicibacter	Dysgonomonas	Kingella	Paludibacter	Peptococcus	Phaselicystis	Acetitomaculum	Butyricimonas	Christensenella	Polycyclovorans	Synechococcus	Bosea	Sediminibacterium	Ilumatobacter	Ceratophyllum	Gilliamella	Escherichia/Shigella	Bilophila	Mobiluncus	Arenimonas	Eikenella	Lactonifactor	Acinetobacter	Heterosigma	Akkermansia	Caulobacter	Catabacter	Succiniclasticum	Phascolarctobacterium	Brachymonas	Catenibacterium	Methylovirgula	Singulisphaera	Staphylococcus	Catonella	Pisum	Megasphaera	Parvimonas	Cetobacterium	Reyranella	Thermosporothrix	Stenotrophomonas	Granulicatella	Delftia	Salinirepens	Lysobacter	Rhizomicrobium	Peptostreptococcus	Filifactor	Adhaeribacter	Enterococcus	Hafnia	Phormidium	Sphingobacterium	Citrobacter	Coprobacillus	Blastococcus	Schwartzia	Gaiella	Bacillus	Paracoccus	Actinoallomurus	Dyella	Winogradskyella	Acetanaerobacterium	Deinococcus	Agrobacterium	Raoultella	Dyadobacter	Acidipila	Gordonibacter	Streptococcus	Slackia	Leptotrichia	Georgfuchsia	Thermomonas	Victivallis	Sporobacterium	Vogesella	Paraprevotella	Dialister	Neptuniibacter	Cryptobacterium	Rhodanobacter	Porticoccus	Rhodopirellula	Lemna	Fucus	Lyngbya	Plesiomonas	Aminobacterium	Syntrophaceticus	Thermomonospora	Clostridium	Acetatifactor	Pseudolabrys	Dongia	Bulleidia	Barnesiella	Butyricicoccus	Coprobacter	Jatrophihabitans	Phenylobacterium	Mitsuaria	Sphingobium	Murdochiella	Bacteriovorax	Serratia	Microchaete	Vasilyevaea	Anaerorhabdus	Actinospica	Syntrophococcus	Actinomyces	Lachnobacterium	Rubricoccus	Alloprevotella	Mucispirillum	Leuconostoc	Cerasibacillus	Butyrivibrio	Pseudorhodoferax	Hyphomonas	Kangiella	Sulfitobacter	Shewanella	Weissella	Prochlorococcus	Pseudomonas	Thiohalocapsa	Novosphingobium	Rheinheimera	Sinorhizobium	Herbaspirillum	Pseudobutyrivibrio	Anaerostipes	Prevotella	Maribacter	Enterorhabdus	Bifidobacterium	Kluyvera	Gemmiger	Sinomonas	Leptolinea	Sphingomonas	Bythopirellula	Stomatobaculum	Cymbella	Anaerococcus	Armatimonas	Aquicella	Nostocoida	Kaistobacter	Olsenella	Aciditerrimonas	Gardnerella	Ruminofilibacter	Orientia	Finegoldia	Cronobacter	Granulosicoccus	Rubidimonas	Subdoligranulum	Chthoniobacter	Nosocomiicoccus	Lactobacillus	Pseudoxanthomonas	Streptomyces	Kandleria	Lewinella	Crocinitomix	Prosthecobacter	Atopobium	Blastocatella	Ruminococcus	Daucus	Dethiosulfatibacter	Brevibacterium	Hydrogenophaga	Aminivibrio	Phycisphaera	Holophaga	Lautropia	Planctomyces	Steroidobacter	Psychrobacter	Desulfovibrio	Adlercreutzia	Rubrivirga	Marmoricola	Proteiniphilum	Defluviitalea	Bryobacter	Anaerofilum	Dehalobacterium	Maricaulis	Eubacterium	Pseudoflavonifractor	Schlesneria	Oxalobacter	Cellulosibacter	Cupriavidus	Alcanivorax	Aliivibrio	Hespellia	Curvibacter	Bdellovibrio	Metabacterium	Sphingopyxis	Desulfomicrobium	Sutterella	Acidovorax	Allobaculum	Enterobacter	Edwardsiella	Sporocytophaga	Pedomicrobium	Fluviicola	Fusicatenibacter	Photobacterium	Mitsuokella	Siansivirga	Natronincola	Riemerella	Limnobacter	Fimbriimonas	Saccharofermentans	Flavonifractor	Alistipes	Oscillibacter	Shinella	Parascardovia	Corynebacterium	Denitrobacterium	Roseomonas	Haemophilus	Negativicoccus	Brevundimonas	Pectinatus	Caldilinea	Rothia	Shuttleworthia	Oribacterium	Gemmata	Gryllotalpicola	Byssovorax	Cardiobacterium	Hydrogenoanaerobacterium	Blautia	Pirellula	Centipeda	Massilia	Peptoniphilus	Selenomonas	Glaciecola	Pusillimonas	Variovorax	Tenacibaculum	Lysinibacillus	Scardovia	Brumimicrobium	Photorhabdus	Abiotrophia	Hellea	Rubrobacter	Providencia	Methylotenera	Neochlamydia	Coprococcus	Zobellia	Solirubrobacter	Allisonella
HC_F14.spingo.txt	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	2	0	1	44	0	0	0	2	9	0	0	0	0	0	0	8	0	2	0	0	0	0	1	0	9	0	0	0	4	44260	0	27	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	4294	2	0	0	0	0	1	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	70	1	0	0	0	0	0	0	52	1	0	0	0	0	0	0	11	0	0	10	0	588	0	0	2	0	0	0	0	1	0	0	0	0	1623	0	0	0	33458	0	0	0	0	0	0	0	0	2	0	0	0	0	0	88	0	4	0	0	0	0	0	2	0	0	2	0	28	0	1	0	0	2	0	0	3224	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	4950	0	0	44	2145	0	0	0	0	0	0	0	4	47	28	0	0	0	3	0	0	9	22	0	0	0	0	0	0	3	3055	15	0	0	0	2	0	0	37	0	5	0	400	0	14	0	0	0	0	0	1	0	1	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	23	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	26	3	0	0	1	2	0	0	9	2873	0	0	0	0	0	1	0	0	0	0	0	0	2484	0	1	0	0	5	2	0	0	0	1	0	11	0	1	0	0	0	0	0	5	33	0	1	0	0	0	22	0	0	0	0	0	0	2	4	0	0	0	0	0	0	170	2418	0	0	65	0	123	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	8	0	0	0	19	0	1	20	0	0	0	0	0	1	0	1	11902	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	3	0	0	0	0	6967	26	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	121	0	328	0	0	0	0	2	49	1016	18541	406	0	0	4	0	0	8	1	0	0	0	11	0	1	0	0	0	0	5	746	0	0	0	9	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1245	0	0	3
HC_F4.spingo.txt	0	0	0	0	0	1448	2	0	0	0	1	2	0	9	0	2	1	2	0	2	0	0	1	42	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	45	0	0	0	6	10614	0	44	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	604	21	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	0	3694	1	1	0	0	0	0	0	27	0	1	0	0	0	1	3	7	1	0	592	0	313	2	0	8	0	0	0	0	0	0	1	0	0	308	0	1	0	62429	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	5	0	5	0	0	6	0	0	0	0	0	34	0	0	0	0	0	0	0	21590	0	0	0	0	0	0	1	0	0	0	0	1	1	2	4	1693	0	0	0	28	0	0	0	0	0	4	0	4	7	18	0	0	0	0	0	0	98	8	0	0	0	0	0	0	1	161	189	0	0	1	1	61	1	490	0	0	0	6645	0	1753	0	1	0	0	0	2	0	0	0	0	368	0	0	1	2	0	0	0	0	5	0	3	1	8	0	0	0	3	3	0	3	0	1	1	0	3	0	1	0	1	182	4	0	0	0	0	0	0	685	227	0	2	0	0	4	1	0	0	0	0	0	0	4221	0	0	1	0	291	1	17	0	0	0	0	0	2	10	7	0	0	0	0	81	1	2	1	0	0	0	18	1	1	0	2	0	0	0	9	0	0	0	0	0	0	348	29492	8	0	1024	0	3534	0	0	3	1	0	0	0	0	1	0	0	4	1	0	0	1	0	1	4	5	95	2	0	8	0	0	3	2	7	0	3	0	1185	0	0	2	0	0	5	0	0	0	0	0	10	3	2	0	0	0	1	0	0	0	25287	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	106	0	0	3	0	0	0	1	0	111	1276	36	0	0	1	0	2	486	0	1	0	0	57	0	7	0	0	0	0	0	604	2	0	23	0	5	0	0	0	12	2	0	1	1	0	17	0	0	0	0	397	6	1	8
HC_F5.spingo.txt	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	38	0	0	0	0	0	1	0	0	1	0	0	5	0	1	0	86	0	0	0	0	35315	0	41	0	0	0	26	0	0	0	0	0	8	0	0	0	0	0	0	0	26	0	0	0	0	0	856	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	0	0	0	0	0	1	0	66	0	0	0	0	0	0	1	0	0	0	39	0	306	0	6	16	0	0	0	0	0	0	0	0	1	72	0	0	0	40997	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	6756	0	6	21	558	1	0	0	0	0	3	0	3	8	20	0	0	0	0	0	0	30	5	0	0	0	0	0	0	0	273	161	0	0	0	13	12	0	317	0	3	0	214	0	28	0	0	0	0	0	3	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	9	39	9	0	0	0	0	0	0	15	9770	0	0	0	0	0	8	0	1	0	0	0	0	2142	0	2	0	0	10	2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	6445	0	0	5152	0	420	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	13	0	0	9	0	0	0	0	0	0	0	2	6420	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	20336	10	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	299	2785	104	0	0	2	0	0	2	0	0	0	1	5	0	0	0	0	0	0	1	964	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1139	0	1	4
HC_F8.spingo.txt	0	0	0	0	0	82	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	213	0	0	0	0	0	2	0	0	8	0	0	3	0	0	0	147	0	0	0	16	21365	0	10856	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	54	0	0	0	0	0	729	10	0	0	0	0	0	0	4	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	720	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	1	0	0	1135	0	4	0	0	3	0	0	0	42	0	0	0	0	0	29	0	3	0	62977	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	3	1	10	0	0	0	1	13	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	437	0	0	1	84	0	0	0	0	0	1	0	1	266	13	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1979	599	0	0	1	1	3	0	442	0	1	0	13846	0	47	0	0	0	0	0	4	0	81	2	0	6	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	39	14	0	0	2	0	1	0	29	436	0	0	0	1	0	0	0	0	39	0	0	0	1992	0	1	0	0	22	1	0	0	0	0	0	0	0	6	0	0	0	0	0	47	0	0	5	0	0	0	3	0	0	0	0	0	2	0	3	0	0	0	1	1	0	167	2135	0	0	318	0	136	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	8	1	0	30	0	1	0	0	0	0	4	3	1680	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2446	0	0	0	0	0	1	0	0	1	0	0	0	0	21	0	0	17	0	0	0	0	54	0	0	0	0	0	0	0	1	1834	5357	695	0	0	5	0	0	20	1	0	0	0	15	1	2	1	0	0	0	0	493	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	238	0	0	15
ITB_F2.spingo.txt	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	1	0	0	87	0	0	0	0	54	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	558	0	652	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	11	0	0	0	0	0	346	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	9	0	0	2	0	57	0	0	30	0	0	0	2	0	0	0	2	0	831	0	0	0	19010	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	2	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2103	0	0	0	7	0	0	0	0	0	1	1	0	6	27	0	0	0	0	0	0	395	5	0	0	0	0	0	0	0	98	36	0	0	0	0	0	0	26	0	0	0	4260	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	2	1	0	0	0	21	0	0	121	8	0	0	1	0	0	0	0	0	0	0	0	0	825	3	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	198	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	109957	0	0	12	0	1471	0	0	0	0	1	0	0	0	0	0	0	11	0	2	0	0	0	1	0	0	57	0	0	205	0	0	0	0	0	0	11	0	1748	0	0	0	0	0	0	0	0	0	0	0	327	13	0	0	0	0	0	0	0	0	19046	5	0	14	0	0	0	0	0	0	0	0	0	0	133	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	30	1723	446	62	0	0	0	0	0	26	0	0	0	0	10	0	0	0	0	0	0	1	373	0	0	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	563	0	0	0
ITB_F11.spingo.txt	0	0	0	0	0	103	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	445	0	0	0	0	12135	0	10904	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	171	5	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	311	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	5	0	0	303	0	11	0	0	5	0	0	0	95	0	0	0	0	19	39	0	0	0	5588	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	8	2	0	0	0	0	0	1	0	9	0	0	0	0	14	0	0	217	0	1	0	0	0	0	0	0	0	0	0	0	0	2	8	660	0	0	3	422	2	0	0	0	0	64	4	3	1	4	0	0	0	0	0	0	9	0	0	0	0	1	0	0	3	28072	19	0	0	0	1	25	0	390	0	0	0	1240	0	50	0	0	0	0	0	14	2	80	0	0	3	4	0	0	0	0	1	0	0	1	2	0	0	360	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	84	14	0	0	3	0	0	0	18	298	0	0	2	0	0	5	0	0	7	0	0	0	5950	0	0	0	0	22	2	4	0	0	0	0	0	0	6	0	0	0	0	0	41	0	0	4	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	1196	0	0	68	0	308	0	0	0	0	0	0	2	0	1	0	0	1	0	53	0	0	2	13	0	0	10	0	0	41	1	1	0	0	0	0	5	4	14003	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3418	0	0	0	0	1	0	0	0	0	0	0	1	0	13	0	0	43	1	0	0	0	27	0	0	0	0	0	0	0	0	49	146	13	0	0	8	0	0	45	4	0	0	0	19	0	2	0	0	0	0	0	1074	0	0	1	3	1	0	0	0	0	0	0	0	6	2	0	0	0	0	0	215	0	0	4
HC_F12.spingo.txt	0	0	0	0	0	1624	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	10	18	0	0	1	0	0	0	0	0	361	1	0	2	0	0	2	64	0	0	0	0	8659	0	764	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	1662	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1079	0	0	0	0	0	1	0	111	0	0	0	0	0	0	0	1	0	0	50	0	158	0	0	17	0	0	0	1	0	0	0	4	0	744	0	0	0	62696	0	0	0	0	0	1	0	0	0	0	0	0	0	11	1	0	2	0	3	0	0	0	0	0	0	2	1	5	0	0	0	0	0	1	1	644	0	0	0	0	0	0	1	0	0	0	0	0	2	2	3	9805	0	3	16	209	1	1	0	0	0	2	0	3	14	171	0	0	1	0	0	0	270	6	0	0	0	0	0	0	3	315	869	0	0	0	1	4	0	1727	0	12	0	17560	0	357	0	0	0	0	0	2	0	0	0	1	24	0	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	96	0	0	0	0	1	3	23	3	1	0	0	1	0	0	6	1091	0	0	2	0	0	1	0	0	0	0	0	0	3775	0	1	0	0	27	3	12	0	0	0	0	0	0	2	0	0	0	0	1	17	20	0	3	0	1	0	8	0	0	0	0	0	2	0	3	0	0	0	0	0	0	280	19966	0	0	126	0	1857	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	40	0	0	19	0	0	0	0	0	0	3	1	3023	0	0	0	1	0	0	0	0	1	0	0	208	12	0	0	1	0	0	5	0	1	8863	79	0	16	0	0	0	0	0	0	0	0	0	0	88	0	0	1	0	0	0	0	68	0	2	0	0	0	0	0	5	962	2178	71	0	0	2	1	0	20	0	1	0	0	15	0	1	0	0	0	0	0	1751	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	1	0	0	5058	0	0	48
ITB_F3.spingo.txt	0	0	0	0	0	35	0	0	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	6111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	348	325	0	1415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	0	2	0	0	0	31	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	46	0	0	21517	0	2	0	0	0	0	0	0	607	0	0	0	0	0	2	0	2	0	2857	0	0	0	0	0	0	0	0	0	57	0	1	1	0	5	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	277	0	0	0	1	1	0	0	0	0	0	0	1	5	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21429	13	0	0	47	0	0	0	198	0	0	0	333	0	2	0	0	0	0	0	37	0	2436	0	0	10	0	0	0	0	0	2	0	0	16	0	0	0	100	0	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	153	0	5	0	0	0	0	0	0	97	0	0	0	0	0	0	4	0	625	0	0	0	3752	0	0	0	0	9	0	1	0	0	0	0	0	0	3	0	0	0	0	0	417	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28632	0	0	3584	0	24	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	10	0	0	2	1	0	13	0	0	0	0	0	0	35	0	88	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	243	1	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	10	0	0	0	0	5	1	0	0	0	0	1	0	0	59	97	18	0	0	8	0	0	133	0	1	0	0	116	2	1	1	0	0	2	0	29	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	16	0	0	0
ITB_F7.spingo.txt	0	0	0	0	0	555	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	55	0	0	0	0	0	0	0	1	126	0	0	0	0	0	0	36	0	0	0	0	8876	0	45	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	40	0	0	0	0	0	1259	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	1	0	0	0	0	0	0	221	0	0	0	0	0	0	0	1	0	0	54	0	10	0	1	10	0	0	0	0	0	0	0	0	0	692	0	0	0	35624	0	0	0	0	0	0	0	0	0	0	1	2	0	0	6	1	3	0	3	0	0	0	1	0	0	2	0	21	1	0	0	0	0	0	0	269	0	0	0	1	0	0	0	0	0	0	0	0	0	1	6	1937	0	0	43	168	1	0	0	0	0	3	0	0	9	63	0	0	0	1	0	0	19	26	0	0	0	0	0	4	0	307	90	0	0	0	0	4	0	57715	0	7	0	6415	0	73	0	0	0	0	0	16	0	0	0	1	3	0	0	0	0	0	0	0	0	69	0	0	0	10	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	38	1	0	0	0	0	0	0	28	241	0	0	2	0	0	0	0	0	0	0	0	0	2487	0	0	0	0	2444	5	0	0	0	0	0	1	0	0	0	0	0	0	0	22	2	0	1	0	8	1	49	0	0	0	0	0	3	0	2	0	0	0	0	0	1	448	30214	0	0	58	0	700	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	22	3	0	39	0	0	0	0	0	0	0	1	6498	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1	0	0	20571	6	0	3	0	0	0	2	1	0	1	0	0	0	3	0	0	1	0	0	0	0	102	0	0	0	0	0	0	0	2	487	4276	140	0	0	10	0	0	11	0	0	0	0	98	0	0	0	0	1	0	1	775	0	0	1	0	7	0	0	0	1	0	2	0	1	0	0	0	0	0	0	945	0	0	16
ITB_F5.spingo.txt	0	0	0	0	0	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	7	1170	0	807	0	0	0	3	1	105	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	58	6	0	0	2	0	0	0	2	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	78	1	0	0	0	0	1	7	6	0	0	0	0	0	0	0	10	1	0	964	0	6	0	0	0	1	0	0	7	0	0	0	2	2	17	0	0	0	3954	0	0	0	0	0	0	0	0	0	6006	0	0	0	0	62	0	0	0	38	0	0	0	5	0	0	0	0	2	0	0	0	0	4	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	4	153	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	0	2	0	0	0	1	0	0	2	0	66143	21	1	0	161	2	10	0	253	2	0	0	307	3	2	0	0	0	2	0	81	4	11	0	0	6	0	0	0	0	0	20	10	0	2	0	0	0	21	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	134	0	104	0	0	0	0	0	32	25	0	0	0	0	0	1	0	0	9	0	0	0	118	0	0	0	1	43	0	0	0	0	0	0	0	0	13	0	0	0	0	0	46	0	0	46	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	20	331	0	1	52	0	50	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	94	0	0	7	0	0	11	0	0	0	0	0	0	11	1	224	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	3	0	0	0	0	0	628	0	0	0	0	2	0	0	0	0	0	0	0	0	52	0	0	25	0	0	0	0	10	0	0	0	0	0	0	0	0	54	114	2	0	0	22	0	2	3787	0	2	0	0	546	0	20	0	0	0	18	0	33	0	1	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	2
