	Classification	Status
sample_1	Healthy_Leh	Healthy
sample_2	Healthy_Leh	Healthy
sample_3	Healthy_Leh	Healthy
sample_4	Healthy_Leh	Healthy
sample_5	Healthy_Leh	Healthy
sample_6	Healthy_Leh	Healthy
sample_7	Healthy_Leh	Healthy
sample_8	Healthy_Leh	Healthy
sample_9	Healthy_Leh	Healthy
sample_10	Healthy_Leh	Healthy
sample_14	Healthy_Leh	Healthy
sample_15	Healthy_Leh	Healthy
sample_16	Healthy_Leh	Healthy
sample_17	Healthy_Leh	Healthy
sample_18	Healthy_Leh	Healthy
sample_19	Healthy_Leh	Healthy
sample_20	Healthy_Leh	Healthy
sample_21	Healthy_Leh	Healthy
sample_22	Healthy_Leh	Healthy
sample_23	Healthy_Leh	Healthy
sample_24	Healthy_Leh	Healthy
sample_25	Healthy_Leh	Healthy
sample_26	Healthy_Leh	Healthy
sample_27	Healthy_Leh	Healthy
sample_28	Healthy_Leh	Healthy
sample_29	Healthy_Leh	Healthy
sample_30	Healthy_Leh	Healthy
sample_31	Healthy_Leh	Healthy
sample_32	Healthy_Leh	Healthy
sample_33	Healthy_Leh	Healthy
sample_34	Healthy_Leh	Healthy
sample_35	Healthy_Leh	Healthy
sample_36	Healthy_Leh	Healthy
sample_37	Healthy_Leh	Healthy
sample_38	Healthy_Leh	Healthy
sample_40	Healthy_Urban	Healthy
sample_41	Healthy_Urban	Healthy
sample_42	Healthy_Urban	Healthy
sample_43	Healthy_Urban	Healthy
sample_44	Healthy_Urban	Healthy
sample_45	Healthy_Urban	Healthy
sample_46	Healthy_Urban	Healthy
sample_47	Healthy_Urban	Healthy
sample_48	Healthy_Urban	Healthy
sample_49	Healthy_Rural	Healthy
sample_50	Healthy_Urban	Healthy
sample_51	Healthy_Urban	Healthy
sample_52	Healthy_Urban	Healthy
sample_53	Healthy_Urban	Healthy
sample_54	Healthy_Urban	Healthy
sample_55	Healthy_Urban	Healthy
sample_56	Healthy_Urban	Healthy
sample_57	Healthy_Urban	Healthy
sample_58	Healthy_Urban	Healthy
sample_59	Healthy_Urban	Healthy
sample_60	Healthy_Urban	Healthy
sample_61	Healthy_Urban	Healthy
sample_62	Healthy_Rural	Healthy
sample_63	Healthy_Rural	Healthy
sample_64	Healthy_Rural	Healthy
sample_65	Healthy_Rural	Healthy
sample_66	Healthy_Rural	Healthy
sample_67	Healthy_Rural	Healthy
sample_68	Healthy_Rural	Healthy
sample_69	Healthy_Rural	Healthy
sample_70	Healthy_Rural	Healthy
sample_71	Healthy_Rural	Healthy
sample_72	Healthy_Rural	Healthy
