	Johnsonella	Burkholderia	Rubrivirga	Turicibacter	Fusicatenibacter	Rheinheimera	Salinicoccus	Altererythrobacter	Afipia	Streptomyces	Propioniciclava	Micropruina	Gordonibacter	Hafnia	Nodularia	Demetria	Pediococcus	Anaerococcus	Rhodocytophaga	Syntrophococcus	Hyphomicrobium	Parapusillimonas	Gemmatimonas	Pseudolabrys	Segetibacter	Lentibacillus	Bosea	Pannonibacter	Rhizobacter	Actinotalea	Alistipes	Nannocystis	Mogibacterium	Dioscorea	Deinococcus	Brooklawnia	Erythrobacter	Bifidobacterium	Bdellovibrio	Pseudoramibacter	Ottowia	Filifactor	Denitrobacterium	Leahibacter	Saccharophagus	Cloacibacillus	Thermomonas	Zoogloea	Brevundimonas	Cloacibacterium	Raoultella	Nocardioides	Leucobacter	Hydrogenoanaerobacterium	Odoribacter	Terrahaemophilus	Blastococcus	Dolosigranulum	Isosphaera	Sporosarcina	Oxalophagus	Propionimicrobium	Bulleidia	Chelatococcus	Brassicibacter	Bacteriovorax	Phenylobacterium	Asteroleplasma	Desulfuromonas	Ralstonia	Rhodopirellula	Gordonia	Epulopiscium	Limnobacter	Flavobacterium	Chthoniobacter	Intestinimonas	Treponema	Methanosphaera	Alkalibaculum	Tsukamurella	Insolitispirillum	Sarcina	Lautropia	Bradyrhizobium	Planctomyces	Varibaculum	Parvimonas	Dehalobacter	Schwartzia	Methylotenera	Mycobacterium	Arcticibacter	Prevotella	Cupriavidus	Cedecea	Legionella	Xylanibacter	Sphingomonas	Acholeplasma	Gemmiger	Rhodoplanes	Kocuria	Guggenheimella	Pluralibacter	Robinsoniella	Dyadobacter	Methylopila	Halomicronema	Lactobacillus	Cetobacterium	Pigmentiphaga	Microbacterium	Helcococcus	Tepidimonas	Anaerofilum	Methylophilus	Alkanindiges	Camelimonas	Trichococcus	Sphaerobacter	Micrococcus	Exiguobacterium	Centipeda	Coraliomargarita	Solirubrobacter	Streptobacillus	Brachyspira	Peptococcus	Arthrobacter	Blautia	Bauldia	Yaniella	Aeromicrobium	Acetitomaculum	Cellvibrio	Serinicoccus	Spinacia	Haemophilus	Acetobacter	Mycoplasma	Proteus	Hymenobacter	Roseburia	Natranaerovirga	Scardovia	Shewanella	Pseudoxanthobacter	Stenotrophomonas	Sphingobacterium	Helicobacter	Parasutterella	Klebsiella	Pedobacter	Parabacteroides	Tessaracoccus	Oceanobacillus	Kineococcus	Caulobacter	Ethanoligenens	Cellulosilyticum	Phyllobacterium	Flavihumibacter	Comamonas	Methylomonas	Anaeromyxobacter	Catonella	Phascolarctobacterium	Oceanitalea	Peptoclostridium	Oxalobacter	Zhihengliuella	Kytococcus	Christensenella	Aquicella	Megasphaera	Barnesiella	Soonwooa	Kingella	Leuconostoc	Leptotrichia	Lysobacter	Defluviicoccus	Fretibacterium	Luteococcus	Mobiluncus	Anaerosinus	Peptostreptococcus	Sphingopyxis	Uruburuella	Acetanaerobacterium	Akkermansia	Agromyces	Rubellimicrobium	Eggerthella	Adlercreutzia	Lutispora	Ferruginibacter	Ruminococcus	Rothia	Anaerobiospirillum	Dorea	Tannerella	Agrococcus	Arenimonas	Alloprevotella	Citricoccus	Actinomyces	Georgenia	Morganella	Murdochiella	Cucumis	Psychrobacter	Methylobacterium	Bacteroides	Ignavibacterium	Dokdonella	Nitriliruptor	Fontimonas	Alcanivorax	Pseudomonas	Lachnospira	Desemzia	Ornithinicoccus	Aureimonas	Wautersiella	Desulfotomaculum	Saccharofermentans	Nesterenkonia	Helcobacillus	Kaistobacter	Naasia	Devosia	Lachnobacterium	Tumebacillus	Microvirga	Faecalibacterium	Paracoccus	Roseomonas	Kerstersia	Coriobacterium	Slackia	Oceanicella	Solobacterium	Arcobacter	Aquabacterium	Globicatella	Clostridium	Acidaminobacter	Acetivibrio	Azohydromonas	Leptolyngbya	Succiniclasticum	Massilia	Actinobaculum	Azospirillum	Victivallis	Macrococcus	Capnocytophaga	Nitratireductor	Brachybacterium	Schlesneria	Alishewanella	Finegoldia	Gemella	Propionivibrio	Hydrotalea	Stomatobaculum	Catabacter	Dehalobacterium	Reyranella	Antarcticicola	Catellibacterium	Fluviicola	Janthinobacterium	Jeotgalicoccus	Sutterella	Novosphingobium	Conexibacter	Brevibacterium	Tetracoccus	Chryseobacterium	Anaerotruncus	Oribacterium	Fimbriimonas	Aequorivita	Cronobacter	Anaeroglobus	Dermatophilus	Pseudochrobactrum	Nocardia	Gracilibacter	Thauera	Hespellia	Asaccharobacter	Janibacter	Gardnerella	Papillibacter	Vallitalea	Pseudoclavibacter	Porphyrobacter	Pyramidobacter	Coprobacillus	Butyricicoccus	Sneathia	Brevibacillus	Tetrasphaera	Piscicoccus	Lachnoanaerobaculum	Photorhabdus	Methanobrevibacter	Steroidobacter	Olsenella	Dialister	Negativicoccus	Oscillochloris	Flavisolibacter	Morus	Desulfovibrio	Holophaga	Dietzia	Oxobacter	Alkalibacterium	Bryobacter	Vibrio	Moryella	Okadaella	Kaistia	Serratia	Planomicrobium	Humicoccus	Dermabacter	Shinella	Atopobium	Rhodospirillum	Craurococcus	Sediminibacterium	Pantoea	Escherichia/Shigella	Alkalitalea	Pseudonocardia	Leclercia	Succinivibrio	Butyrivibrio	Methylobacillus	Eikenella	Meiothermus	Enterorhabdus	Paenibacillus	Variovorax	Pseudoxanthomonas	Nitrosomonas	Facklamia	Enterobacter	Polymorphum	Subaequorebacter	Trifolium	Pectobacterium	Marmoricola	Sporacetigenium	Enterococcus	Vampirovibrio	Citrobacter	Prolixibacter	Acinetobacter	Rhodococcus	Parvibacter	Megamonas	Mesorhizobium	Schlegelella	Porphyromonas	Rhizobium	Paraeggerthella	Singulisphaera	Bifissio	Pontibacter	Hydrocarboniphaga	Holdemania	Kofleria	Geodermatophilus	Pleomorphomonas	Campylobacter	Knoellia	Ornithinimicrobium	Bilophila	Allobaculum	Ilumatobacter	Sneathiella	Howardella	Imtechium	Tunicatimonas	Rhodothermus	Oscillibacter	Aquamicrobium	Alkaliphilus	Vagococcus	Ochrobactrum	Dermacoccus	Anaerorhabdus	Pyxidicoccus	Rhodobacter	Aliihoeflea	Granulicatella	Bordetella	Flavonifractor	Aciditerrimonas	Coprobacter	Ramlibacter	Elusimicrobium	Lactonifactor	Peptoniphilus	Sporobacter	Halomonas	Caryophanon	Anoxybacillus	Nostocoida	Fusobacterium	Subdoligranulum	Anaerovibrio	Sphaerochaeta	Skermanella	Aerosphaera	Nitrolancea	Undibacterium	Mitsuokella	Anaerosporobacter	Aminobacter	Corynebacterium	Anaerofustis	Galbibacter	Alcaligenes	Luteimonas	Kluyvera	Bacillus	Alloscardovia	Hazenella	Petrimonas	Abiotrophia	Desulfosporosinus	Collinsella	Acidovorax	Propionibacterium	Butyricimonas	Achromobacter	Pelomonas	Aggregatibacter	Erwinia	Pseudoflavonifractor	Elizabethkingia	Acidaminococcus	Perlucidibaca	Sideroxydans	Lactococcus	Eubacterium	Coprococcus	Neisseria	Anaerovorax	Weissella	Microlunatus	Methyloversatilis	Cardiobacterium	Allisonella	Streptococcus	Azonexus	Providencia	Agrobacterium	Planobacterium	Catenibacterium	Anaerostipes	Staphylococcus	Zymophilus	Leifsonia	Rhodopseudomonas	Adhaeribacter	Moraxella	Gaiella	Patulibacter	Delftia	Empedobacter	Curvibacter	Millisia	Oscillospira	Paraprevotella	Solibacillus	Aerococcus	Rikenella	Selenomonas	Veillonella	Ammoniphilus	Sphingobium
sample_142	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	2	0	28	0	0	0	0	0	0	0	0	935	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	54	0	0	3	0	4	13	0	7	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	0	0	198	0	0	17	0	0	0	4	0	9	0	0	0	0	0	21	275	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	4	0	0	0	0	0	2	0	0	0	206	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	29	0	0	0	0	19	0	0	0	0	0	886	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	14	15	0	0	4	1	0	0	0	0	0	32	0	0	0	0	0	0	12	0	0	0	5	8	0	14	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	104	0	14	0	0	1	0	0	0	0	8	0	0	0	241	88	0	0	0	0	0	0	2	21	0	0	0	0	80	9	0	0	0	4	0	0	0	0	0	0	0	0	32	3	0	0	0	0	7	0	0
sample_12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11099	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	26	0	0	0	0	392	0	0	0	0	0	1	0	2	0	0	31	0	0	0	0	2	0	0	0	16	0	0	0	1	0	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	9	0	0	384	0	0	114	0	0	0	929	0	8	0	0	0	0	0	0	104	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3464	0	0	0	0	19	0	46	0	0	0	142	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	944	0	0	0	0	47	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	3	31	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	2	0	1	0	0	1	2455	229	0	1	0	0	0	0	0	22	0	0	0	0	1026	31	0	0	0	0	0	0	0	0	0	0	0	0	137	32	0	0	0	0	12	0	0
sample_153	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	4	0	302	44	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	24	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	75	0	0	0	0	86	0	4	0	26	0	0	0	0	0	0	2068	0	0	0	0	0	0	0	0	142	0	4	768	0	0	0	0	0	0	0	0	13	0	0	225	0	0	0	0	55	0	0	0	0	1	0	0	0	0	3	19	0	0	819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	61	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	19	0	2	0	0	0	0	0	13	48	0	0	0	0	0	320	0	0	0	35	0	0	0	0	0	0	0	12	0	0	0	158	160	248	45	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	28	0	2	17	0	0	0	0	0	0	0	0	0	0	20	1	168	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	53	0	0	0	0	3	467	0	0	0	20	0	0	14	0	0	0	0	0	0	0	0	4	0	0	0	0	0	22	0	20	0	928	1	0	1	11	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	41	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	4	0	1	94	0	0	0	57	0	0	0	0	0	1	0	18	0	394	0	61	8	0	0	0	200	0	0	0	0	36	0	0	0	212	0	0	0	0	174	0	0	214	8	49	0	41	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	57	0	67
sample_68	0	0	0	0	31	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	6	1	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2391	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	266	0	0	0	0	0	0	0	94	0	0	0	0	311	0	0	0	0	0	0	0	8	1	0	267	0	0	0	4	0	0	0	0	0	0	0	0	504	0	0	6	0	0	3	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	30	3	0	0	0	1	0	0	3198	0	0	105	0	0	0	780	0	1	0	0	0	0	0	5	477	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2443	5	0	0	0	16	0	53	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	29	0	0	0	0	0	13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	7	155	0	0	2	0	41	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	22	7	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	2	0	59	2	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	14	0	0	0	329	1	0	0	0	0	0	0	1	1	0	0	72	0	13	0	0	0	0	9	0	0	0	0	7	6	0	0	0	0	0	0	3	0	0	0	0	0	0	18	0	0	0	0	0	0	0	246	0	0	30	0	2	0	0	1	0	12	0	0	0	1799	92	0	0	0	0	0	0	3	83	0	0	0	0	865	26	0	0	0	0	0	0	0	0	0	0	0	0	152	10	0	0	0	0	33	0	0
sample_106	0	0	0	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	1925	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	6	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	31	0	0	58	0	2	0	0	0	0	0	0	0	0	1	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	147	0	0	20	0	0	0	29	0	7	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7276	0	0	0	0	93	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1860	0	0	0	0	0	0	0	3	0	0	0	0	0	2747	22	0	0	2	0	0	0	0	4	0	0	0	0	2315	8	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	1	3	0	0
sample_80	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2397	0	0	0	0	0	0	100	0	7	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	0	1	0	0	0	0	0	10	0	0	0	0	117	0	0	0	0	0	3	0	13	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	10	5	0	0	1016	0	0	88	0	0	0	208	0	0	0	0	0	0	0	0	557	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4178	0	0	0	0	50	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	475	0	0	0	0	1	0	0	0	0	0	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	11	0	0	19	28	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	33	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	7	0	0	0	0	9	4	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420	0	6	11	0	3	0	0	0	0	24	0	0	0	1751	98	0	0	0	0	0	0	0	6	0	0	0	0	2084	40	0	0	0	0	0	0	0	0	0	0	0	0	61	1	0	0	0	0	0	0	0
sample_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	26	0	0	8	0	0	0	39	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	5	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	1	0	0	0	70	34	0	0	0	0	0	0	0	1	0	0	1	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0
sample_93	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131	0	0	0	0	0	1	81	0	1	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	728	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	32	0	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	8	0	0	5	0	1066	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	1	0	0	192	0	0	71	0	0	0	4	0	4	0	0	0	0	0	0	629	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2887	0	0	0	0	99	0	0	0	0	0	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	0	0	898	558	0	0	0	0	21	0	0	0	0	0	294	0	1	0	0	0	0	0	0	0	0	0	0	0	18	1	0	0	0	33	0	0	1	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	0	0	0	471	0	0	0	0	0	0	0	0	0	1	0	38	0	0	0	0	0	0	4	0	0	0	0	1	2	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1316	0	0	5	0	0	0	0	0	5	124	0	0	0	2244	319	0	2	0	0	0	0	4	14	0	0	0	0	1760	69	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	3	10	0	0
sample_94	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	784	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	33	0	70	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	1	0	25	0	0	106	0	0	0	0	0	0	0	0	1	0	0	0	154	0	0	0	0	0	0	0	0	55	0	0	0	10	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	0	0	624	0	0	115	0	0	0	19	0	0	0	0	0	0	0	4	2028	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	991	0	0	0	0	15	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	15	0	0	0	0	0	14	62	0	0	0	0	0	0	0	0	0	0	2745	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	71	0	0	9	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	20	59	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	78	0	0	8	0	1	0	0	0	1	55	0	0	11	791	139	0	0	0	0	1	0	0	24	0	0	0	0	194	110	0	0	0	0	0	0	0	0	0	1	1	0	87	20	0	0	0	0	6	0	0
sample_104	0	0	0	99	49	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	94	0	0	0	0	1	13	0	1	0	0	2	0	0	0	0	0	8	2	12	0	0	0	0	0	13	0	0	0	1	15	0	1	10	1	0	0	0	0	35	352	0	0	0	0	0	0	2	0	0	0	0	3	4	0	0	16610	0	0	0	0	0	1	737	0	11	0	3	0	0	0	0	836	0	0	2	1	0	8	1	0	0	2	1	0	0	0	0	0	0	1	11	0	2242	0	0	341	0	0	0	0	394	0	0	2	0	811	0	0	0	0	0	687	0	109	494	0	379	0	0	0	3	0	0	0	0	6	0	0	0	806	0	0	1	0	0	5	0	326	85	0	0	0	0	0	0	0	0	0	0	3	0	0	67	28	0	0	149	11	0	0	4115	0	0	749	0	0	0	1407	0	58	0	0	3	0	0	1	8912	0	0	0	0	0	39	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	12810	1	0	0	0	344	0	85	0	1	0	1672	0	1	0	0	0	21	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	55	0	0	0	0	0	38	73	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	171	0	0	0	0	0	3	1	0	177	1614	8	0	0	0	100	0	0	0	0	0	3740	0	0	0	0	0	0	3	0	2	0	0	0	0	958	1	0	0	259	207	0	2	15	25	0	0	0	0	0	176	0	0	0	1	0	0	35	0	1	2	3	44	8	1128	0	0	2	0	1	0	0	0	0	0	0	6	0	0	0	0	167	0	0	1	9	0	0	0	1922	0	0	0	0	0	0	0	1	0	0	0	938	0	7	0	0	2	10	31	6	0	0	0	23	2	181	0	0	0	0	0	151	0	0	8	0	0	9	2	0	0	0	0	0	0	0	5204	1	0	29	0	3	4	0	0	34	244	0	1	2	7306	739	0	6	2	0	8	0	7	487	0	0	0	0	3432	687	0	0	0	0	0	2	0	0	2	0	0	0	464	140	0	0	1	6	141	0	6
