	Score1	Group	Score2	Species Score3	
66b76fdbeb654c58e45d1f6817dc3a4f	1	NA	1	Thermus_scotoductus	1
7a4bd8a821311985e5bc31fc3d508a8a	1	NA	1	Thermus_scotoductus	0.99
34efa9fdc83ecf7d01afb3c54cc91f78	1	IV	1	Faecalibacterium_prausnitzii	1
3044d8d97e74f8bd5edda9468454ffe6	1	NA	1	AMBIGUOUS	0
d627ff3999eb25f491ba3b9a242a8445	1	NA	1	Bifidobacterium_longum	1
a9cff2937a2699bbb3eff7ba383c1cd6	1	NA	1	AMBIGUOUS	0
90df4e5d32a256743aaa98a5b4459c40	1	NA	1	AMBIGUOUS	0
7e3cc701c594db85830bdc4c02d79325	1	NA	1	AMBIGUOUS	0
018b2ae4157be8f6fa5cc25968ad11c3	1	NA	1	AMBIGUOUS	0
368c7b1fb1078aa04d580b72b069bc0d	1	NA	1	AMBIGUOUS	0
9176918ffe6f7c8c4ea4e05dda355a46	1	NA	1	Thermus_scotoductus	0.98
de4988912d6be90d9683e2b700ddb2ce	0.96	NA	1	Prevotella_copri	1
b222fae50e519f13ff8b5a2b387b1d8d	0.96	NA	1	Prevotella_copri	1
5c83568e1dc36dd20e6e2478d63cbaec	1	XIVa	1	AMBIGUOUS	0
a0f213dd27030c52f428ef3ccb8d4b75	0.89	XVI	1	Eubacterium_biforme	1
d2c9e2b20609720e23c6087d45dec53c	1	NA	1	Thermus_scotoductus	1
45513b1d22b24bbd0771de05c1596240	0.98	IV	1	Faecalibacterium_prausnitzii	1
5ffbec31dac6ba7fb72f86c3ecf63f06	1	NA	1	AMBIGUOUS	0
ce9e4b90b81c63a1c1382b1d28ae5047	1	NA	1	AMBIGUOUS	0
012fd2cf01132bd3ebbde017196f973e	1	IV	1	Faecalibacterium_prausnitzii	1
3bd8a6ff17b3c74a8e67b94a9fd74a10	0.93	NA	1	Prevotella_copri	1
cb0feb302104a1bef7939cad34701333	1	XIVa	1	Eubacterium_rectale	1
eaabda5d0b7a9b682e71bcbc42426aa0	1	NA	1	AMBIGUOUS	0
7fe2ee6a3de4bf43df819f30cf06c16d	1	NA	1	Bacteroides_vulgatus	1
c76f351b425a0a5a9695c27bf96613fd	1	NA	1	AMBIGUOUS	0
c76468713fea2324244e8b842450676b	1	NA	1	Collinsella_aerofaciens	1
d04602ee9c72b1fd5b1f2527386e43a7	1	NA	1	Gemmiger_formicilis	0.95
4c461fade04cec1530000780cea7fef7	1	NA	1	Akkermansia_muciniphila	1
f2acf8a1b2793e82bfb3f2e59920273d	1	XIVa	1	Ruminococcus_obeum	1
2e42a2108645cdad2cfae38e43190ca3	0.92	NA	1	Prevotella_copri	1
15f1398ada38e79e86f0096091544156	0.95	NA	1	Catenibacterium_mitsuokai	1
0fa6a96c01d2728a87a5415fa1123076	0.9	NA	1	Dialister_succinatiphilus	1
85c5e895cda9af4d66352d9ece66d22d	1	IV	1	Faecalibacterium_prausnitzii	1
8bc38bd61bc2fdcf0eb6a977abe914f1	1	NA	1	Prevotella_copri	1
a35560541eb70becbf8691be03582d5e	0.89	NA	1	Prevotella_copri	1
6a7e74839f19fbfb6b72112558343da3	1	NA	1	AMBIGUOUS	0
8455ccf288f2d5e8af8c568b5dfd819b	1	XIVa	1	Eubacterium_rectale	1
25f4099acecd38fedad46374d0bbf2e1	1	NA	1	AMBIGUOUS	0
5c495df96196bf4381c1ebd7822e1b9e	1	XIVa	1	Eubacterium_rectale	1
762c02375d4246a88e82941c8a46d659	1	NA	1	Haemophilus_parainfluenzae	0.93
09bc717395535d79c3017bddeb3c8504	1	NA	1	Akkermansia_muciniphila	1
021f5a1adfee228761da5a50ad5fb27a	1	NA	1	AMBIGUOUS	0
db9375f9b021761ab2866fab23dfe51b	1	XIVa	1	Ruminococcus_obeum	0.95
aa1a5c36a8f230d83ae65b404315ccca	0.95	NA	1	Catenibacterium_mitsuokai	1
a712d139f42e14735dd28a35528f9419	1	AMBIGUOUS	0	AMBIGUOUS	0
a387ccd286dd634495cc8fc6d625ede4	0.9	NA	1	Dialister_succinatiphilus	1
786dececbe3e135ecce0a249f5d97e29	1	NA	1	Streptococcus_equinus	0.89
e98e5223293b02c2e6402caea1bb89a1	1	NA	1	Haemophilus_parainfluenzae	0.96
c977d72590d460a627d40717ed5375ad	1	NA	1	AMBIGUOUS	0
cdf43117cd1f2d7f36e76d388fab7731	1	XIVa	1	Ruminococcus_obeum	1
fe2fc0dbe23a51f270a127f26582fe71	0.94	NA	1	Prevotella_copri	1
db3f9365d4ca9e04243cff0488473691	0.98	XIVa	1	Ruminococcus_torques	1
b5fae8c4ecd7d361b47c317a9b0581e3	1	NA	1	Akkermansia_muciniphila	1
0134419c730897df13e0c0192813b5c9	1	NA	1	AMBIGUOUS	0
959ed874517dad36399ba9107775f986	1	NA	1	Bifidobacterium_longum	1
5bb20fcbbf81c2cabac79249e2aa72fc	0.6	NA	1	Alloprevotella_rava	0.92
1b76160e38b8cb9d8abab2f60c039d06	0.98	NA	1	Fusobacterium_varium	1
b2c7405c174c72336c12dfd2e087a6e5	0.96	NA	1	Prevotella_copri	1
fea64db2c6177b7b79fdf4c6156deca5	1	NA	0.92	Fusobacterium_mortiferum	0.92
d900b1c2c90db8c880cfd1caf0cc41e7	1	IV	1	Faecalibacterium_prausnitzii	1
95f8d0e89367fb306ee32f210369c2d8	1	NA	1	AMBIGUOUS	0
00db65f9b3d952f7c196577985cfb87f	1	NA	1	AMBIGUOUS	0
154ef89e5a39d0e152b950ae9305ecb5	1	I	1	Clostridium_disporicum	0.97
7d90880cfba9cf395f9d08d441f5aef6	1	XIVa	1	Ruminococcus_gnavus	1
100ac21081fcf5f6764635a89cf9a067	0.93	NA	1	Megamonas_funiformis	0.85
ef38838823cdf721e60a05be12c98945	0.92	NA	1	Akkermansia_muciniphila	1
57adf43f9611f1c67d16cba941caf17a	0.98	XIVa	1	Blautia_luti	1
e990bbfaa8b057476461dc6d94ee1764	1	NA	1	Bacteroides_vulgatus	0.99
a871c8864201d33d4cb6c322e1002ae1	0.95	NA	1	Prevotella_stercorea	1
c58502454dd163a90e1c75193c12fad7	0.55	NA	0.45	Eubacterium_coprostanoligenes	0.43
84b2984099fd7d2dab30df2dc1407261	0.98	NA	1	Fusobacterium_varium	0.64
7a6acf330c94b328616b41050b0dd73d	1	NA	1	Parabacteroides_distasonis	1
2f4af2624f711d8b9b6c72cbfc635465	0.92	XIVa	0.91	Ruminococcus_obeum	0.73
42bef32fa531053ca37b5de1f421de5d	0.98	XVI	1	Eubacterium_biforme	1
83ea7d505374bb02ce6f3b6faf9f4ccd	0.96	XVI	1	Eubacterium_biforme	1
6005a82e1b272c75187b1e6f3551be59	0.89	I	0.98	Clostridium_disporicum	0.55
feb58d3cee0d908473f167a8c8e1b2a5	0.93	NA	1	Prevotella_stercorea	1
eb7459878d4fb596c3317fca4a36c21d	1	NA	1	Parabacteroides_merdae	1
37b0c1699a22010a4561bd5ecf5936cb	1	XIVa	1	Dorea_longicatena	1
1840fa1440a3e26123c87d37d9d69c52	1	NA	1	Lactobacillus_ruminis	1
54429e0a2bd24dac40d19b2cde21c1ed	0.95	NA	1	Prevotella_copri	1
60f9df000013f1402ab93b05cc1687b3	1	NA	1	Bacteroides_fragilis	1
f9de7ee3b6c063226ccee2706bf1ef23	0.92	NA	1	Prevotella_copri	1
219d61186384c53d03381a42e545d568	0.98	NA	1	Fusobacterium_varium	0.82
c84cd31eb59dba0a2800102aa7294a63	1	I	1	Clostridium_disporicum	1
0317a9935f551d3e7e61e95684c74e8d	1	NA	1	Streptococcus_thermophilus	0.94
752135e4cf00a32d7e7014e0f1748dd7	1	NA	1	AMBIGUOUS	0
3e425e4ffb222bbab975277f120a0975	1	NA	1	AMBIGUOUS	0
09d61c9cbe5d0ff6f888e78267dbf052	0.94	NA	0.9	Clostridium_ruminantium	0.9
26365ff00483f3149443da98b38c714c	1	AMBIGUOUS	0	AMBIGUOUS	0
7177d0620993c5fd2990da1409730a31	0.47	NA	0.72	Robinsoniella_peoriensis	0.25
99750dc9a3d3d41ea6d9a19bdec262db	0.95	NA	1	Prevotella_stercorea	1
e6b4d5d3376138f8c4d2849fd02d6969	0.99	XIVa	1	Dorea_formicigenerans	1
bfc6a4ce096826b11dc85cf94f2059e4	1	I	1	Clostridium_disporicum	0.93
a01aaacd51d5a52f6ef8c3fa7e49b8c5	1	NA	1	Bacteroides_xylanisolvens	0.88
86ca5047d9b55434c9adff4fdfef364d	1	XIVa	1	Ruminococcus_gnavus	1
a3a05ab54a9408f1ec97a5b3622d3624	1	NA	1	Bacteroides_dorei	1
