	Acinetobacter	Actinomycetospora	Succinivibrio	Slackia	Methylibium	Anaerotruncus	Varibaculum	Actinomyces	Methylobacterium	Agrobacterium	cc_115	Afipia	Methylotenera	Actinobaculum	Veillonella	Erwinia	Peptococcus	Garciella	Paracoccus	Finegoldia	[Ruminococcus]	Sphingobium	Lautropia	Coprococcus	Pseudonocardia	Meiothermus	Cardiobacterium	Rothia	Arthrobacter	rc4-4	Anaerobacillus	Anaerococcus	Collinsella	Ralstonia	Alicycliphilus	Succiniclasticum	Morganella	Actinobacillus	Brevundimonas	Corynebacterium	Novosphingobium	Staphylococcus	Treponema	Alloiococcus	Pyramidobacter	Trueperella	Leptotrichia	Oxalobacter	Scardovia	Gemella	Bulleidia	Rhodococcus	Comamonas	Dyadobacter	Amaricoccus	Thermomonas	Anaerovorax	Geobacillus	Allobaculum	Dokdonella	Phenylobacterium	Paraprevotella	Methanobrevibacter	Tepidimonas	Shinella	Oscillospira	Aggregatibacter	Escherichia	Dechloromonas	Blautia	CF231	Mannheimia	Dehalobacterium	Propionibacterium	Nannocystis	Deinococcus	Catonella	Clostridium	ph2	Microbacterium	Burkholderia	Campylobacter	Moryella	Frondihabitans	Delftia	Trabulsiella	Serratia	Lactobacillus	Microbispora	02d06	Chryseobacterium	TG5	Vibrio	Phascolarctobacterium	Parvimonas	Pseudoramibacter_Eubacterium	Nevskia	Eikenella	Granulicatella	Anaerofustis	Lysinibacillus	Brevibacterium	Ochrobactrum	Nitrospira	Proteus	Cloacibacterium	Epulopiscium	Megasphaera	Neisseria	Candidatus Arthromitus	Thermus	Catenibacterium	Propionicimonas	Alistipes	Micrococcus	Pseudoxanthomonas	Streptococcus	Selenomonas	Lachnospira	Bacteroides	Variovorax	Sarcina	Hymenobacter	Pseudomonas	Filifactor	Acidocella	Terracoccus	Gordonia	Rheinheimera	Facklamia	Hydrogenophilus	Bacillus	Peptoniphilus	Ruminococcus	Enterococcus	Sphingomonas	Sediminibacterium	Enterobacter	Eggerthella	Halomonas	Citrobacter	Lactococcus	Atopobium	Mobiluncus	Caldinitratiruptor	Mucispirillum	Pediococcus	Dialister	SMB53	Pimelobacter	Brachyspira	Prevotella	Roseburia	Acidaminococcus	Lachnobacterium	WAL_1855D	Porphyromonas	Paenibacillus	Jonquetella	Limnobacter	Anaerostipes	Devosia	Flavobacterium	Megamonas	Wolbachia	Odoribacter	Leptospira	Butyricimonas	Rhodobacter	Mycobacterium	Marinomonas	Enhydrobacter	Klebsiella	Rhodoplanes	Parabacteroides	1-68	Adlercreutzia	Schwartzia	Akkermansia	Christensenella	Fusobacterium	Bifidobacterium	[Eubacterium]	[Prevotella]	Pedobacter	Coprobacillus	Stenotrophomonas	Faecalibacterium	Photobacterium	Aerococcus	Rikenella	Sutterella	Bilophila	Nesterenkonia	Mogibacterium	Helicobacter	Abiotrophia	Desulfovibrio	Salinibacterium	Shuttleworthia	Vagococcus	Pseudobutyrivibrio	Oribacterium	Alicyclobacillus	Tetragenococcus	Turicibacter	Roseomonas	Peptostreptococcus	Haemophilus	Mitsuokella	Dorea
s1_CD_flare_Inflammed	0.00119387490267	0.0	0.0	0.0	0	0.0	0.0	0.007941863483	0.0	0.0	0.0	0.0	0.0	0.0	0.000242235487499	0.0	0.0	0.0	0.000847824206247	0.0	0.000363353231248	0.000173025348214	0.0	5.19076044641e-005	0.0	0.000242235487499	0.0	0.000813219136604	0.0	0.0	1.73025348214e-05	0.0	0	0.0	0.0	0.0	0	0	0.0	6.92101392854e-005	0	0.0009343368803534	0	0.0	0.0	0.0	0.0	0.0	0.000242235487499	1.73025348214e-05	0.0	0.0	1.73025348214e-05	0.000173025348214	8.65126741068e-05	0.000173025348214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000138420278571	0	0.0	0.0	0.000190327883035	0.0	0.0	0.0	0.0	0.0	0	0.0	5.19076044641e-005	0.0	0	5.19076044641e-005	0.000484470974998	0.0	0.0	0.0	0.0	0	0.0006401937883904	0.000155722813392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46050696427e-05	0.000311445626784	0.0	0.0	0.0	0.0	0.0	0.000744008997318	0.0	0.0	0.0	0	0.0	8.65126741068e-05	0.0	0.0	0	0.000121117743749	0.0	0.01868673760703	0	1.73025348214e-05	8.65126741068e-005	6.92101392854e-05	0.0	0.0	0.00141880785535	0.0	0.0	0.0	0.0	0.0	5.19076044641e-05	0.0	0.000207630417856	0.0	0.000173025348214	0.892309023272	0.0012284799723114	0.0	0.0	0	0.0	1.73025348214e-005	0.0	0	0.0	3.46050696427e-05	0.0	0.0	1.73025348214e-05	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	3.46050696427e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.73025348214e-05	6.92101392854e-05	0.0	0	0.000328748161606	0.00150532052946	0.0	0.000778614066961	0.0	0.0	0.0	0.0	0.0	0.000363353231248	0.006055887187482	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.000553681114283	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.000138420278571	0.0	0.0	0.000121117743749	0	0.0001384202785704	1.73025348214e-005	3.46050696427e-005
s2_CD_flare_Inflammed	5.59910414334e-005	0.0	0.0	0.0	0	0.000410600970511	0.0	5.59910414334e-005	0.0	0.0	0.0	0.0	0.0	0.0	0.0004106009705118	0.0	0.0	0.0	0	0.0	0.016386711459499	0.0	0.0	0.0110488988428334	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	3.73273609556e-005	0.0	0.0	0.0	1.86636804778e-005	0.0005785740948118	0.0	1.86636804778e-005	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169092945129	0	0.0	0.0	0.0460992907801224	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0003919372900332	0.0	0	0	5.59910414334e-005	0.0	0.0	0.0	0.0	0	1.86636804778e-005	0.0	0.0	0.0	0.0	0.0	0.00119447555058	3.73273609556e-05	0.000298618887645	0.0	0.0	3.73273609556e-05	1.86636804778e-05	0.0	0.0	0.0	0.0	0.000205300485256	0.0	0.000130645763345	7.46547219112e-05	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.297013811123951	0	0.0121127286301	0.0096304591265356	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.055561776782401	0.0010078387458	3.73273609556e-005	0.0	1.86636804778e-05	0	0.0	0.0001679731243	9.3318402389e-05	7.46547219112e-005	0.0	1.86636804778e-05	0.0	0.0	0.00515117581187	0.0	0.0	0.0	1.86636804778e-005	0.0001306457633446	0.0	0.000690556177678	0.0	0	0.0	0.0	0.0	0.00188503172826	0.0	0.0	0.0	0.0	0.000466592011945	0.0	0.0026875699888	0.0	0.0	0	0.0	0.0459313176558	0.0	0.0425345278089778	0.0	1.86636804778e-05	0.0	0.0	0.0	0.000298618887645	0.002836879432623	0	0.0	0.0	0.0	0	0.0129525942516	0.0	0.0	0.0	0.000709219858156	0.000149309443822	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111982082867	0.002183650615905	0	0.00711086226203
s3_CD_flare_Inflammed	0.00142526646286	0.0	0.0	0.0	2.06560356936e-005	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.114413781706994	0.0	0.0	0.00882012724118	0.0	4.13120713873e-05	0.0	0	0.0	0.0	0.0	0.0	0.0001652482855486	0.0	0.0	0.0	0.000103280178468	0.0001652482855486	0.0	0.000144592249855	0	0.0004750888209536	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000557712963728	0.0	0.0	0.0	0.0	0.000103280178468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281541766504	0	0.0	0.0	0.0353218210360746	0.0	0.0	0.0	4.13120713873e-05	0.0	0	0.0	0.007890605634968	0.0	0	2.06560356936e-005	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.000475088820953	0.0	0.0	6.19681070809e-05	2.06560356936e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000165248285549	0.0	0	2.06560356936e-05	0.0	0.0	0.0	0	0.0	0.0	0.00462695199537	0	0.0	0.0080971659919073	0.000185904321243	0.0	0.0	0.0032016855325136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009501776419066	0.0	0.00090886557052	0.000185904321243	0.00264397256878	0.0	0.0	0	0.0	2.06560356936e-005	2.06560356936e-05	0	0.0	2.06560356936e-05	0.0	0.0	0.00264397256878	2.06560356936e-05	0.0	0.0	0	0.0143352887713616	0.0	0.0	0.0	0	0.0	0.0	0.0	0.000619681070809	0.0	0.0	0.0	0.0	0.0013013302487	0.0	0.0	0.0	0.0	2.06560356936e-005	0.0	0.00301578121127	0.0	0.00150789060563	0.0	2.06560356936e-05	0.0	0.0	0.0	0.000144592249855	0.0014872345699463	0	0.0	0.0	0.0	0.0005783689994213	0.00524663306618	0.000144592249855	0.0	0.0	0.0150582500207	0.00183838717673	0.0	0.0	0	0.0	2.06560356936e-005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000268528464017	8.26241427745e-05	2.06560356936e-005	0.0047095761381473	4.13120713873e-005	0.017371726018319
s4_CD_flare_Inflammed	0.0140009809604895	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.00642083203281	0.0	0.026329870245626	0.00454808935658	0.0	0.0018281535649	0.0	0.00867258215544	0.0	4.4589111339e-005	0.00517233691533	0.0	0.0	0.0	0.000646542114416	0.0	0.0	0.0	6.68836670085e-005	2.22945556695e-005	0.0	0.00107013867214	0	0.004525794800908	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00309894323806	6.68836670085e-05	0.0	8.9178222678e-05	0.0	0.0	0.0	0.0	0.00329959423909	0	0.0	0.0	0.0119944709502	0.0	0.0	0.000267534668034	0.000133767334017	0.0	0	0.0	4.4589111339e-005	0.0	0	0.0016052080082	0	0.0	0.0	0.0	0.0	0	0.00147144067419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.9178222678e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0115708743925	4.4589111339e-05	2.22945556695e-05	0	4.4589111339e-05	0.00260846301333	0.0	0.0	0	0.00448120568957	0.0	0.0180362955366	0	2.22945556695e-05	0.0001783564453565	0.00144914611852	0.0	0.0	0.0233201052302695	0.0	0.00162750256387	0.0	0.0	0.0	0.0	0.00158291345253	0	0.0	0.000111472778348	0.00164979711954	0.01012172827396	0.0	0.0	0	0.0	0	0.00207339367726	0	0.0	0.00347795068444	0.0	0.0	4.4589111339e-05	0.0	0.0015383243412	0.0	0	0	2.22945556695e-05	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00164979711954	0.0	0.0	0.0	0.001649797119543	0.00151602978553	0.00486021313595	0.0	4.4589111339e-005	0.0	2.22945556695e-05	0.0	2.22945556695e-05	0.0	8.9178222678e-05	0.0005350693360685	0	0.0	0.0	0.0	0.00240781201231	0.000379007446382	0.0	0.0	0.0	0.0139118027378	0.0	0.000824898559772	0.0	0.0034333615731	0.0	0	2.22945556695e-05	0.0	0.0	0.0	0.0	0.00118161145048	0.0	0.000178356445356	0.0	0	0.002184866455609	2.22945556695e-005	0.005997235475098
s5_CD_flare_Inflammed	0.001379089800731	0.0	0.0	0.0	0	0.0	0.0	0.000299802130594	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.147942358043769	0.0	0.0	0.00143905022685	0.0	0.0	0.0	0.000359762556713	0.0	0.0	0.0	0.0	3.99736174126e-005	0.0	0.0	0.0	7.9947234825e-005	7.9947234825e-005	0.0	0	0	9.99340435313e-005	0	0.0	0.0	0.0	0.0	0.0	0.0	0.000139907660944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00105930086143	0	1.99868087063e-05	0.0	0.0371554773849	0.0	0.0	0.0	0.0	0.0	0	0.0	0.08856154937743	0.0	0.0002598285131815	5.99604261188e-005	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.000259828513181	0.0	0.0	0.0	0.000719525113425	0.0	0.0	0.0	0.0	0.0	3.99736174125e-05	0.0	0.00697539623848	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.159994403693125	0	1.99868087063e-05	0.0001598944696505	0.0	0.0	0.0	0.00103931405273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.000199868087063	0.004377111106668	0	0.0	0.0	0.000219854895769	0.0	0	0.000659564687306	0	0.0	0.0	0.0	0.0	0.0003197889393	0.0	0.0	0.0	0	9.99340435313e-005	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99868087063e-05	0.0	0.0	0	3.99736174125e-05	0.000619591069894	0.0	0.0114324545800063	0.0	0.0	0.0	0.0	0.0	0.000239841704475	0.036276057801876	1.99868087063e-005	0.0	0.0	0.0	0	0.000139907660944	0.0	0.0	0.0	0.0411728259349	0.0	0.0	0.0	0	0.00015989446965	3.99736174125e-005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00519657026363	0.0	0.00015989446965	0.000559630643775	5.99604261188e-005	0.030699738172744
s6_CD_flare_Inflammed	0	0.0	0.0	0.0	0	0.00173232116953	0.0	0.000140839119474	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.113854344182669	0.0	0.0	0.00661943861527	0.0	1.40839119474e-05	0.0	0	0.0	0.0	0.0	0.0	0.020999112713575	0.0	0.0	0.0	0.000253510415053	0	0.0	4.22517358421e-005	8.45034716843e-005	1.40839119474e-005	0	0.0	0.000169006943369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0291255299072	0	0.0	0.0	0.0878131909918895	0.0	0.0	0.0	1.40839119474e-05	0.0	0	0.0	0.00126755207526	0.0	0	0	0.0010985451318921	0.0	0.0	0.0	0.0	1.40839119474e-005	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40839119474e-05	2.81678238948e-05	0.0	0.0	0.0	1.40839119474e-05	0.0	0.000774615157106	0.0	0.000676027773474	0.00568990042674	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.002239341999634	0	0.0	0.142571440643632	0.0	0.0	0.0	0	0.0	0.0	2.81678238948e-05	0.0	0.0	0.0	0.0	0	0.0	0.0221399095813	0.000154923031421	0.000295762150895	0.0	0.0	0.000788699069053	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0533639423686	1.40839119474e-05	0.0	0.0	0	0	0.0188301902737	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	5.63356477896e-005	0.0	0.0	0.0	0.0	0.0	0.0	0.0361674858808454	1.40839119474e-005	0.0	0.0	0.0	0	9.85873836317e-005	0.0	0.0	0.0	2.81678238948e-05	0.00577440389843	0.0	0.0	0	0.0	0.00633776037632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.000197174767263	0	0.0028731180372648
s7_CD_flare_Inflammed	0	0.0	0.0	5.53036168565e-05	0	5.53036168565e-05	0.0	0.000276518084283	0.0	0.0	0.0	0.0	0.0	0.0	4.14777126424e-005	0.0	0.0	0.0	0	0.0	0.0090283154518313	0.0	0.0	0.0269052096007565	0.0	4.14777126424e-05	0.0	0	0.0	0.0	0.0	0.0	0.002364229620614	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	9.67813294989e-05	2.76518084283e-05	2.76518084283e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38259042141e-05	0.0	0.0	0.0	0.022923349187	0	0.0	0.0	0.06871474394422	0.0	0.0	1.38259042141e-05	0.0	0.0	0	0.0	0.00272370313018	0.0	0	0	0	0.0	0.0	0.0	0.0	0	6.91295210706e-005	0.0	0.0	0.0	0.0	0.0	0.000497732551709	9.67813294989e-05	2.76518084283e-05	0.0	0.0	4.14777126424e-05	2.76518084283e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.76518084283e-05	0.0273614644398	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0343435460678798	0	0.00269605132176	0.063087600929066	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38259042141e-005	0.0	0.080770932418953	4.14777126424e-005	0	0.0	0.0	2.76518084283e-005	0.0	0	0.0	0.000110607233713	0.0	1.38259042141e-05	0.0	0.0	0.0298086494857	0.0	0.0	0.0	0.000317995796925	0.01016203959739	0.00611104966265	0.000331821701139	0.0	0	0.0	0.0	0.0	0.00250248866276	0.0	0.0	0.0	0.0	0.00183884526048	0.0	0.00246101095012	0.0	0.0	0	0.0	0.0	0.0	0.026089481252098	0.0	4.14777126424e-05	0.0	0.0	1.38259042141e-05	0.0	0.017890720053085	0	0.0	0.0	0.0	0	0.0617464882203283	0.0	0.0	0.0	0.0207803340338	0.0026407477049	0.0	6.91295210707e-05	0	0.0	0.000179736754784	0.0	0.0	0.0	4.14777126424e-05	0.0	0.0	0.0	2.76518084283e-05	0.0	0	2.76518084283e-005	0	0.02549496737089
s8_CD_flare_Inflammed	0.000199146987072	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	6.6382329024e-005	0.0	0.0	8.297791128e-005	0.0	1.6595582256e-05	0.0	1.6595582256e-005	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.011982010388868	1.6595582256e-005	0.0	0	0	0.003684219260834	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6382329024e-05	0	0.0	0.0	0.00024893373384	0.0	0.0	0.0	4.9786746768e-05	0.0	0	0.0	0	0.0	9.9573493536e-005	0	0	0.0	0.0	0.0	0.0	0	1.6595582256e-005	0.0	0.0	0.0	0.0	0.0	0.0	6.6382329024e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195827870621	0.0	0.000116169075792	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	6.6382329024e-005	0	1.6595582256e-05	6.6382329024e-005	0.0	0.0	0.0	0.000680418872496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001974874288462	0.0	3.3191164512e-005	0.439019533	0.000713610037008	0.0	0.0	0	0.000132764658048	0	0.0	0	0.0	0.0	0.0	0.0	3.3191164512e-05	0.0	0.0	0.0	0	3.3191164512e-005	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	3.3191164512e-005	0.0	1.6595582256e-05	0.0	0.0	0.0	0.000116169075792	6.6382329024e-005	0	0.0	0.0	0.0	1.6595582256e-005	8.297791128e-005	0.0	0.0	0.0	0.000730205619264	0.0	0.0	0.0	0	0.0	1.6595582256e-005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	9.9573493536e-005
s9_CD_flare_Inflammed	0.000116194625999	0.0	0.0	0.0	0	0.0	0.0	0.000159767610748	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	1.45243282498e-05	0.0597676107479791	0.0	0.0	0.00981844589688	0.0	1.45243282498e-05	0.0	0	0.0	0.0	0.0	0.0	0.0002323892519966	0.0	0.0	0.0	2.90486564996e-005	0.000377632534495	1.45243282498e-05	1.45243282498e-005	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.90486564996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017618010167	0	0.00183006535948	0.0	0.14444444444473	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0030936819172196	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.45243282498e-05	0.0	0.0	0.0	4.35729847495e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000334059549746	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0135221496006	0	0.0	0.0004502541757443	0.0	0.0	0.0	5.80973129993e-005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1.45243282498e-05	0.00212055192447	5.80973129993e-005	8.71459694989e-005	0.0	0.0	0.000116194625999	0.0	0	7.26216412491e-05	0	0.0	0.0	0.0	0.0	0.0651125635439	0.0	0.0	0.0	0	0.0011909949164878	0.0	1.45243282498e-05	0.0	0	0.0	0.0	0.0	0.000261437908497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1.45243282498e-05	0.0	0.0397966594044993	0.0	0.0	0.0	8.71459694989e-05	0.0	0.195802469136	0.001757443718228	0	0.0	0.0	0.0	1.45243282498e-005	1.45243282498e-005	0.0	0.0	0.0	0.0140450254176	0.00233841684822	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.003790849673198	0	0.0553231663035479
s10_CD_flare_Inflammed	0.0016704406251202	0.0	0.0	0.00139203385426	0	0.0	0.000334088125023	0.0815546234084	0.0	0.00102082482646	0.0	0.0	0.0	7.42418055607e-05	0	0.0	0.0	0.0	0.001633319722335	0.010560896841	0.000853780763948	0.0	0.0	0.000779538958387	0.0	0.000445450833364	0.0	0	0.0	0.0	0.0	0.0121014143064	0	0.0	0.0	0.0	1.85604513902e-005	0	0.000129923159731	9.28022569509e-005	0.000148483611121	0	0	0.0	0.0	0.0	7.42418055607e-05	0.0	0.0	0.00929878614648	0.0	0.0	0.000222725416682	0.0	0.0	0.0	0.0	0.0	1.85604513902e-05	0.0	1.85604513902e-05	0.0	0.0	0.000167044062512	0.0	0.000111362708341	0	0.000222725416682	0.0	0.0009465830208992	0.0	0.0	0.0	0.000167044062512	0.0	1.85604513902e-005	0.0	0.000204164965292	0.0	3.71209027804e-005	0	0.0241285868072	0.0	0.0	0.0	0.0	0	0	0.000222725416682	0.0	0.0	3.71209027804e-05	0.0	1.85604513902e-05	0.130294368759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000631055347266	3.71209027804e-05	0.0	0	0.0	0.000111362708341	0.0	0.0	0	0.0	0.000278406770853	5.56813541705e-005	0	3.71209027804e-05	0.0006124948958762	0.0	0.0	0.0	0.00278406770853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111362708341	0.132391699766	0.000222725416682	0.0042503433683502	0.0007980994097772	0.0	0.0	1.85604513902e-005	0.0	0	0.0	0.064033557296156	0.0	0.000241285868072	0.0	0.0	0.0453988641004	0.0	0.0	0.0	0	9.28022569509e-005	0.0	0.0	0.0	0.000204164965292	0.000816659861168	0.0	0.0	0.0	0.000445450833364	0.0	0.0	0.0	0.0037863320836	0.0	0.0	0.0	0.0	0	0.0	0.000816659861168	0.0	0.0002227254166817	0.0	0.0	0.0	0.0	1.85604513902e-05	0.269386391477	0.0199710456958171	0	0.0	0.0	0.0	0	7.42418055607e-005	0.0	0.0	0.0	9.28022569509e-05	0.0	0.0	0.0	0	0.0	1.85604513902e-005	0.0	0.0	0.0	0.0	0.0	3.71209027804e-05	0.0	0.0	0.0	0.0117302052786	0	1.85604513902e-005	0.0002412858680725
