	Dorea_formicigenerans	Clostridium_intestinale	Serratia_marcescens	Lysinibacillus_boronitolerans	Veillonella_parvula	Bifidobacterium_adolescentis	Ruminococcus_torques	Bacteroides_plebeius	Pyramidobacter_piscolens	Haemophilus_influenzae	Prevotella_nigrescens	Eggerthella_lenta	Lactobacillus_mucosae	Marinomonas_primoryensis	Sphingomonas_wittichii	Streptococcus_luteciae	Oxalobacter_formigenes	Alistipes_massiliensis	Actinomyces_europaeus	Ruminococcus_gnavus	Paracoccus_marcusii	Bacillus_flexus	Ruminococcus_flavefaciens	Acinetobacter_lwoffii	Alistipes_indistinctus	Atopobium_rimae	Pseudoxanthomonas_mexicana	Porphyromonas_endodontalis	Neisseria_cinerea	Mitsuokella_multacida	Acinetobacter_rhizosphaerae	Sphingomonas_echinoides	Mucispirillum_schaedleri	Variovorax_paradoxus	Pseudomonas_fragi	Acinetobacter_johnsonii	Collinsella_aerofaciens	Bacteroides_caccae	Staphylococcus_epidermidis	Propionibacterium_acnes	Thermomonas_fusca	Parabacteroides_distasonis	Burkholderia_bryophila	Aggregatibacter_segnis	Staphylococcus_aureus	Eubacterium_biforme	Campylobacter_ureolyticus	Roseburia_faecis	Blautia_producta	Methylibium_petroleiphilum	Akkermansia_muciniphila	Jonquetella_anthropi	Treponema_amylovorum	Blautia_obeum	Enterococcus_cecorum	Actinobacillus_porcinus	Tetragenococcus_halophilus	Vibrio_rumoiensis	Streptococcus_sobrinus	Collinsella_stercoris	Desulfovibrio_D168	Actinobacillus_parahaemolyticus	Roseomonas_mucosa	Rothia_dentocariosa	Pediococcus_acidilactici	Escherichia_coli	Helicobacter_pylori	Clostridium_hiranonis	Veillonella_dispar	Brevundimonas_diminuta	Staphylococcus_succinus	Clostridium_perfringens	Rothia_mucilaginosa	Coprococcus_catus	Caldinitratiruptor_microaerophilus	Haemophilus_parainfluenzae	Bacteroides_barnesiae	Selenomonas_noxia	Clostridium_butyricum	Deinococcus_geothermalis	Stenotrophomonas_acidaminiphila	Bifidobacterium_bifidum	Bacteroides_uniformis	Prevotella_copri	Paenibacillus_lautus	Methylobacterium_adhaesivum	Rhodococcus_fascians	Streptococcus_anginosus	Eubacterium_cylindroides	Staphylococcus_equorum	Methylotenera_mobilis	Corynebacterium_durum	Bacteroides_ovatus	Enterococcus_casseliflavus	Bacillus_cereus	Bacteroides_coprophilus	Bacillus_muralis	Lactobacillus_ruminis	Microbispora_rosea	Morganella_morganii	Rothia_aeria	Bifidobacterium_longum	Coprococcus_eutactus	[Eubacterium]_dolichum	Peptostreptococcus_anaerobius	Bacteroides_fragilis	Bifidobacterium_pseudolongum	Faecalibacterium_prausnitzii	Bacteroides_eggerthii	Bacillus_cohnii	Lactobacillus_zeae	Selenomonas_ruminantium	Frondihabitans_cladoniiphilus	Ruminococcus_bromii	Treponema_socranskii
s1_CD_flare_Inflammed	0	0	0	0	0	0.000155723	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020763	0	0	0	0	0	0	0	0	0	1.73E-05	0	0	0	6.92E-05	0	0	0	0	0.000622891	0	0.000173025	0.000588286	0	0	6.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121118	0	0	0	0	0	0.000242235	0	0	1.73E-05	0.000813219	0	3.46E-05	0.000121118	0	0	0	0	0	0	0	0	0	0	0	0.003512415	0	0	0	3.46E-05	0	0	0	0	0	0	0.000155723	0	0	0.003910373	0	0	0	0	0	0	0	0.00020763	1.73E-05	0	0	0	0
s2_CD_flare_Inflammed	0.001157148	0	0	0	0	0.001343785	0.000149309	0	0	1.87E-05	0	0	0	0	0	0.001026502	0	0	0	0.008995894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011552818	0	0	0	0	0	1.87E-05	7.47E-05	0	0	0	0	0	0	0	0	0	0	1.87E-05	0	0.000186637	0	0	0	0	0	0	0.000391937	0	0	1.87E-05	0	0	1.87E-05	0.001885032	0	0	0	0	0	0	3.73E-05	1.87E-05	0	0	0	7.47E-05	0	0	0	1.87E-05	0	0	0	0	0	0	0	1.87E-05	0	0.000447928	0	0	0	0	0	0.012952594	0	0	0	0	0	0.000727884	0
s3_CD_flare_Inflammed	0.002044948	0	0	0	0	0.001053458	0.000619681	0	0	0	0	0	0	2.07E-05	0	0	0	0	0	0.069156408	0	0	0	0	0	0	0	0	0	4.13E-05	0	0	0	0.000185904	2.07E-05	0	0.000144592	0	0.000454433	4.13E-05	0	0	0	0	0	0	0	2.07E-05	4.13E-05	2.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	8.26E-05	0	0	0	0	0	0	0	0	0	0	0	2.07E-05	0.004668264	0	0	0	0	0	0	4.13E-05	0	0	0	0	0	0	0	0	0	0	0	0.000929522	0	0	0	0	0.00010328	0	0.00010328	0	0	0	0	0	0.005246633	0	0	0	0	0	0	0
s4_CD_flare_Inflammed	2.23E-05	0	0	0	0	0.000156062	8.92E-05	0	0	0	0	0	0	0.000312124	0.00274223	0	0	0	0	0.014313105	0	0	0	0	0	0	0	0	0	2.23E-05	0	0	0	0.001449146	0	0.001449146	0.000267535	0	0.004436617	0.000133767	0	0	0	0	0	0	0	0	0	0	2.23E-05	0	0	0	0	0	0	0	0	0.000379007	0	0	0	0	0	0	0	0	0	0	0	2.23E-05	4.46E-05	0	0.003477951	0.002140277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.69E-05	0	0.000222946	0	0	0	2.23E-05	6.69E-05	0.000379007	0	0	0	0	0	0	0
s5_CD_flare_Inflammed	0.012851518	0	0	0	0	0.000199868	0	0	0	0	0	0.000219855	0	0	0	0.000299802	0	0	0	0.147722503	0	0	0	0	0	0	0	0	0	6.00E-05	0.000979354	0	0	0	0	0	2.00E-05	0	7.99E-05	0	0	0.011412468	0	0	0	0	0	0	0.000959367	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0.000159894	0	2.00E-05	0	0	0	0	0	0.075050467	0.000199868	0	0	0.000479683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99E-05	0	0.020446505	0	2.00E-05	0	4.00E-05	0	0.000139908	0	0	0	0	0	0	0
s6_CD_flare_Inflammed	2.82E-05	0	0	0	0	0.005619481	0.000591524	0	0.000169007	0	0	0.000788699	0	0	0	0	0	0	0	0.066138051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000985874	0	1.41E-05	1.41E-05	0	2.82E-05	0	0	0	0	4.23E-05	0	5.63E-05	0	0	0	0	0	0	0	0	0	0	0.019787896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197175	0	0	0	0	0	1.41E-05	0	0	0	0	0	0.000140839	0	0	0	0	0	0	0	0	0	0	0	0.00025351	0	0.020252665	0	1.41E-05	0	9.86E-05	0.00032393	9.86E-05	0	0	0	0	0	0	0
s7_CD_flare_Inflammed	0.004078642	0	0	0	0	0.012429488	9.68E-05	0.000207389	0	0	0	2.77E-05	0	0	0	0.000387125	9.68E-05	0	0	0.0072586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001714412	1.38E-05	0	0	0	0.011364893	0	0	0	0	0	0.001119898	0.001285809	0	0	0	0	0	0	0	0	0	6.91E-05	0	0	0	0	0	0	0	0	0	4.15E-05	0	0	0	0	0	1.38E-05	2.77E-05	0	0	0	0	0	0	9.68E-05	0	0	0	0	6.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002861962	0	0	0	0	0.000138259	0.061718836	0.000138259	1.38E-05	5.53E-05	0	0	0.000345648	0
s8_CD_flare_Inflammed	3.32E-05	0	0	0	0	1.66E-05	1.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	4.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00270508	4.98E-05	0	3.32E-05	0	0	4.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66E-05	0	1.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001609771	0	0.000132765	0	0	0.011932224	0	1.66E-05	0	0	0	0	0	8.30E-05	0	0	0	0	0	0	0
s9_CD_flare_Inflammed	8.71E-05	0	0	0	0	0.000522876	5.81E-05	0	0	0	0	0.000116195	0	0	0	0	0	0	0	0.058373275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000203341	1.45E-05	0	0	0	5.81E-05	0	0	0	0	0	1.45E-05	0.001554103	0	8.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001830065	0	0	0	1.45E-05	0	0.001089325	0	0	0	0.003645606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36E-05	0	0	0	0	0	0	2.90E-05	0	0.00063907	0	0	0	0	0	1.45E-05	0	0	0	0	0	0	0
s10_CD_flare_Inflammed	5.57E-05	0	0	0	0	9.28E-05	0	0	0	0	0	1.86E-05	0	0	0	0	0	0	0.023256246	0.000445451	0	0	0	1.86E-05	0	0.000649616	0.000278407	0	0	0	0	0	0	0	0	0	0	0	0	0.000167044	0	0.000148484	0	0	0	0	0	0	1.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222725	0	0	0	0.000129923	0	0	0	0	0.000241286	0	0	0	0	1.86E-05	0	0	0	0	0.00081666	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222725	1.86E-05	0	1.86E-05	0	0	0	1.86E-05	0	7.42E-05	0	0.000111363	0	0	0	0	0
