	Microdochium	Leptosphaeria	Armillaria	Itersonilia	Filobasidium	Cystofilobasidium	Udeniomyces	Phaeosphaeria	Acremonium	Rhodosporidium	Steccherinum	Ascochyta	Ceriporiopsis	Hyphodontia	Sporobolomyces	Alternaria	Diaporthe	Yarrowia	Davidiella	Pringsheimia	Strobilurus	Guehomyces	Entyloma	Malassezia	Mollisia	Kluyveromyces	Mastigobasidium	Agaricus	Eutypella	Peniophora	Bjerkandera	Kabatiella	Trichosporon	Aureobasidium	Cryptococcus	Bensingtonia	Neodeightonia	Leucosporidiella	Neurospora	Cladosporium	Tilletiopsis	Dioszegia	Aspergillus	Irpex	Trametes	Xylodon	Sistotrema	Penicillium	Gibberella	Chalastospora	Botrytis	Debaryomyces	Meyerozyma	Fusarium	Phoma	Wallemia	Candida	Ceratobasidium	Exophiala	Sarocladium	Monographella	Bulleromyces	Ustilago	Fomes	Saccharomyces	Bullera
s1_CD_flare_Inflammed	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0.000588408355399	0	0.0	0.0	0.0	0.0214769049721	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.002942041776989	0.0	0.0	0.0	0.0135333921742	0.0	0	0.0	0	0.8937922918508	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0114739629303	0.0
s2_CD_flare_Inflammed	0.15208367923	0	0.0	0.0001660302175	0.000996181304998	0	0.0001660302175	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0.000830151087498	0	0.0	0.0	0.1859538436	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0943051635398	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.159056948365	0.0	0	0.0	0	0	0	0.0	0.0	0.0343682550224	0.0	0.0	0.0	0.0	0.0
s3_CD_flare_Inflammed	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.157480314961	0	0.0	0.0	0.00109361329834	0	0.0	0.0	0.201881014873	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.00349956255468	0.193350831146335	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.00153105861767	0.0	0	0.0	0	0.169947506562003	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0621172353456	0.0
s4_CD_flare_Inflammed	0.0	0	0.0	0.0	0.00219442615756	0	0.0	0.0	0.0	0.0	0	0.000658327847268	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0241386877332	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0373052446785	0.011849901250868	0.0	0.00131665569454	0.0	0.681369321922	0.0	0.0342330480579	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s5_CD_flare_Inflammed	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0768439108062	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.54991423670714	0.000343053173242	0	0	0	0.0	0.0	0.342024013722484	0.0	0.000343053173242	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s6_CD_flare_Inflammed	0.0789198866179	0	0.0	0.0	0.00208861703715	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0	0.0546024168283	0.0	0.0	0.0	0	0	0.0847381769357	0.0	0.0	0.0	0.01700731015965	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.28420110398345	0.0	0	0.0	0	0	0	0.0	0.0	0.00372967328062	0.0	0.0	0.0	0.0	0.0
s7_CD_flare_Inflammed	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0456224899598	0	0.0	0.0	0.000321285140562	0	0.0	0.0	0.0438554216867	0.0910843373494	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.784578313253	0.0	0	0.0	0	0.000160642570281	0	0.000321285140562	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s8_CD_flare_Inflammed	0.0195088363553	0	0.0	0.000459031443654	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.300436079871	0	0.0	0.0	0	0	0.0	0.0	0.0	0.000114757860913	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.23800780353479	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.000114757860913	0.0	0	0.0	0	0	0	0.0	0.0	0.0094101445949	0.0	0.0	0.0	0.0	0.0
s9_CD_flare_Inflammed	0.00671273445212	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.00612043435341	0.0	0.0	0.00631786771964	0	0.0	0.0	0.0	0.0246791707799	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.321224086871	0.0	0	0.0	0	0	0	0.0	0.0	0.00414610069102	0.0	0.0	0.0	0.0	0.0
s10_CD_flare_Inflammed	0.0	0	0.0	0.000162048290391	0.0	0	0.000486144871172	0.0	0.0	0.0	0	0	0.0	0	0.0	0.143898881867	0.0	0.0	0.005509641873281	0	0.0	0.0	0.0	0.108572354561391	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.00631988332523	0.0	0.0763247447739	0.0	0.046021714470872	0.0	0	0.000648193161562	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
