	Kabatiella_bupleuri	Dioszegia_fristingensis	Gibberella_zeae	Penicillium_sp_LY_384	Itersonilia_perplexans	Aureobasidium_pullulans	Dioszegia_hungarica	Xylodon_nespori	Bullera_unica	Neurospora_crassa	Acremonium_sp	Malassezia_restricta	Filobasidium_uniguttulatum	Alternaria_malorum	Bjerkandera_adusta	Mollisia_sp	Steccherinum_sp	Leptosphaeria_sp	Monographella_nivalis	Ascochyta_sp	Alternaria_brassicae	Hyphodontia_radula	Ceratobasidium_sp_AG_I	Mastigobasidium_sp	Irpex_hydnoides	Pringsheimia_sp	Malassezia_globosa	Tilletiopsis_sp_OVB10_013	Cystofilobasidium_capitatum	Debaryomyces_prosopidis	Cryptococcus_laurentii	Ceriporiopsis_aneirina	Leucosporidiella_creatinivora	Candida_zeylanoides	Peniophora_sp	Fomes_fomentarius	Penicillium_chrysogenum	Agaricus_bisporus	Cladosporium_halotolerans	Candida_tropicalis	Candida_dubliniensis	Trametes_versicolor	Wallemia_muriae	Dioszegia_sp	Armillaria_mellea	Malassezia_sympodialis	Exophiala_eucalyptorum	Bulleromyces_albus	Saccharomyces_cerevisiae	Sistotrema_sp	Candida_glabrata	Udeniomyces_pannonicus	Aspergillus_sydowii	Yarrowia_lipolytica	Bensingtonia_sp_PYCC_5562	Meyerozyma_guilliermondii	Wallemia_sp_BF036	Kluyveromyces_marxianus	Guehomyces_pullulans	Davidiella_tassiana	Wallemia_sebi	Ceratobasidium_sp_Rh050667	Fusarium_oxysporum	Sarocladium_strictum	Cryptococcus_dimennae	Ustilago_hordei	Trichosporon_asahii	Candida_sp_YS43
s1_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000588408355399	0.0	0.0	0.0676669608708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0114739629303	0.0	0.82612533098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s2_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0001660302175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000996181304998	0.0	0.0	0.0	0.0	0.0	0.0343682550224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001660302175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s3_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00349956255468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000437445319335	0.0	0.0	0.0	0.0	0.0621172353456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000656167979003
s4_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00219442615756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0241386877332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000658327847268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0373052446785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s5_CD_flare_Inflammed	0.0	0.0	0.0	0.000686106346484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0768439108062	0.545454545455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s6_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00208861703715	0.0	0.0	0.0	0.0	0.0	0.00372967328062	0.0	0.0	0.0	0.0	0.0	0.0	0.0516186782038	0.0	0.0	0.0	0.00029837386245	0.0	0.0	0.0	0.0	0.00149186931225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0847381769357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s7_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000321285140562	0.0	0.0	0.0	0.000160642570281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s8_CD_flare_Inflammed	0.0	0.00160661005279	0.0	0.0	0.000459031443654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0094101445949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s9_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414610069102	0.0	0.00434353405726	0.0	0.0	0.0	0.0	0.0	0.0246791707799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s10_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.000162048290391	0.0	0.0	0.0	0.0	0.0	0.0	0.000162048290391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000648193161562	0.000486144871172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000162048290391	0.0	0.0	0.000486144871172	0.0	0.0	0.0	0.0	0.0
