	Spirosoma	Treponema	Kytococcus	Nakamurella	Finegoldia	Sporobacter	Robinsoniella	Schlegelella	Lachnoanaerobaculum	Piscicoccus	Haloanella	Pinus	Agitococcus	Cucumis	Aeromicrobium	Atopostipes	Dysgonomonas	Agrobacterium	Eubacterium	Anaeromyxobacter	Gordonia	Anaerobiospirillum	Dietzia	Coprococcus	Aureimonas	Thermoactinomyces	Insolitispirillum	Aurantimonas	Cyanophora	Rikenella	Coprobacillus	Variovorax	Flavisolibacter	Comamonas	Larkinella	Cloacibacterium	Schwartzia	Microlunatus	Acholeplasma	Mycobacterium	Brachybacterium	Clavibacter	Bythopirellula	Erysipelothrix	Brooklawnia	Galbibacter	Terrahaemophilus	Methanosphaera	Cloacibacillus	Butyricimonas	Rubricoccus	Paracoccus	Pseudochrobactrum	Capnocytophaga	Okadaella	Georgenia	Planobacterium	Tepidimonas	Oxalobacter	Hyphomicrobium	Serratia	Faecalibacterium	Aquincola	Propionicicella	Coriobacterium	Acidovorax	Phascolarctobacterium	Micrococcus	Bergeyella	Geodermatophilus	Adlercreutzia	Sphaerochaeta	Nitriliruptor	Herbaspirillum	Brassicibacter	Nubsella	Vogesella	Rhodobacter	Alkalibaculum	Sphaerobacter	Abiotrophia	Truepera	Shuttleworthia	Rubrivivax	Aequorivita	Alkalitalea	Chryseobacterium	Massilia	Ethanoligenens	Bacteroides	Sorangium	Chitinophaga	Fusobacterium	Campylobacter	Propioniferax	Lachnobacterium	Varibaculum	Pedomicrobium	Ochrobactrum	Alloscardovia	Anaeroplasma	Acetivibrio	Ilumatobacter	Brevundimonas	Oscillibacter	Exiguobacterium	Trichococcus	Altererythrobacter	Tersicoccus	Trifolium	Rothia	Atopobium	Chloroflexus	Eikenella	Anaerovorax	Kineosphaera	Ruminococcus	Mycoplasma	Kineococcus	Syntrophococcus	Paenibacillus	Kocuria	Sphingomonas	Collinsella	Pseudoclavibacter	Achromobacter	Parabacteroides	Haemophilus	Porphyromonas	Vibrio	Lactonifactor	Anaeroglobus	Burkholderia	Mobilicoccus	Peptoclostridium	Curtobacterium	Bifidobacterium	Gordonibacter	Photorhabdus	Marinicella	Pseudolabrys	Bacillus	Bulleidia	Butyrivibrio	Dehalobacterium	Catenibacterium	Barnesiella	Dermabacter	Rubrivirga	Fluviicola	Pisum	Prevotella	Kerstersia	Salinicoccus	Sneathia	Pseudorhodoferax	Lutispora	Neisseria	Thauera	Bifissio	Oribacterium	Succiniclasticum	Eggerthia	Anaerostipes	Hafnia	Microvirga	Enterorhabdus	Sutterella	Rhodoplanes	Delftia	Pseudonocardia	Algoriphagus	Rubrobacter	Sphingobium	Peptococcus	Bordetella	Anabaena	Microcella	Fulvimonas	Perlucidibaca	Acetobacter	Gemmatimonas	Asteroleplasma	Fusicatenibacter	Macrococcus	Kofleria	Janibacter	Phenylobacterium	Oscillospira	Bdellovibrio	Selenomonas	Clostridium	Cystobacter	Arcanobacterium	Paraeggerthella	Desulfotomaculum	Lautropia	Gemella	Arcobacter	Alcaligenes	Kiloniella	Xanthomonas	Acinetobacter	Planctomyces	Proteus	Blastococcus	Aquabacterium	Rhodocytophaga	Saccharofermentans	Alistipes	Hydrogenoanaerobacterium	Hydrogenophaga	Humibacillus	Papillibacter	Blastocatella	Nitrolancea	Vagococcus	Ralstonia	Vallitalea	Stenotrophomonas	Ohtaekwangia	Aciditerrimonas	Turicibacter	Meiothermus	Portibacter	Anaerorhabdus	Tetrasphaera	Pelomonas	Jonquetella	Mogibacterium	Facklamia	Brevibacillus	Propioniciclava	Paludibacter	Phyllobacterium	Tolumonas	Dorea	Cedecea	Chryseomicrobium	Emticicia	Staphylococcus	Patulibacter	Sporichthya	Lactobacillus	Brevibacterium	Succinatimonas	Veillonella	Turicella	Legionella	Methylophilus	Chelatococcus	Zhihengliuella	Flavobacterium	Castellaniella	Luteimonas	Parvimonas	Elizabethkingia	Sphingopyxis	Lactococcus	Intestinimonas	Gracilimonas	Oxalicibacterium	Alishewanella	Curvibacter	Nocardioides	Arcticibacter	Sphingosinicella	Murdochiella	Psychrobacillus	Bilophila	Megamonas	Empedobacter	Cetobacterium	Citrobacter	Cesiribacter	Mobiluncus	Desulfosporosinus	Hymenobacter	Armatimonas	Butyricicoccus	Aeromonas	Limnobacter	Acetanaerobacterium	Bosea	Fimbriimonas	Anaerofilum	Cerasicoccus	Cellulosilyticum	Skermanella	Rahnella	Succinivibrio	Slackia	Thermomonas	Methylosinus	Sediminibacterium	Lelliottia	Frankia	Terrimonas	Klebsiella	Rhodococcus	Elusimicrobium	Streptococcus	Odoribacter	Enterobacter	Anaerococcus	Denitrobacterium	Aggregatibacter	Pyramidobacter	Escherichia/Shigella	Thermobacillus	Pseudoxanthomonas	Daucus	Fructobacillus	Rhizobium	Coprobacter	Raoultella	Leifsonia	Alterococcus	Solirubrobacter	Afipia	Humicoccus	Acetonema	Parvibacter	Pantoea	Frigoribacterium	Cronobacter	Wautersiella	Anaerovibrio	Victivallis	Catabacter	Niabella	Salinimicrobium	Conexibacter	Akkermansia	Herbiconiux	Amaricoccus	Dolosigranulum	Friedmanniella	Weissella	Pluralibacter	Filifactor	Epulopiscium	Ornithinimicrobium	Corynebacterium	Devosia	Shewanella	Bradyrhizobium	Chondromyces	Nevskia	Pseudobutyrivibrio	Enterococcus	Methyloversatilis	Allisonella	Olsenella	Allobaculum	Mitsuokella	Sphaerotilus	Ottowia	Sneathiella	Rubellimicrobium	Leptotrichia	Mucilaginibacter	Ornithinicoccus	Pectobacterium	Dehalobacter	Craurococcus	Peptostreptococcus	Labrys	Propionibacterium	Arthrobacter	Sarcina	Haematobacter	Prolixibacter	Vampirovibrio	Duganella	Nocardiopsis	Cardiobacterium	Paracraurococcus	Azohydromonas	Methanobrevibacter	Nafulsella	Pedobacter	Olavius	Citricoccus	Parapusillimonas	Sodalis	Kluyvera	Nesterenkonia	Pleomorphomonas	Howardella	Thermincola	Gracilibacter	Lachnospira	Holdemania	Dioscorea	Synergistes	Cryptobacterium	Actinomyces	Sphingobacterium	Microbacterium	Acidaminobacter	Marmoricola	Adhaeribacter	Stomatobaculum	Coraliomargarita	Leuconostoc	Dialister	Pseudorhodobacter	Azospirillum	Yaniella	Azoarcus	Scardovia	Tessaracoccus	Porphyrobacter	Pontibacter	Pseudokineococcus	Jeotgalicoccus	Paraprevotella	Spiroplasma	Syntrophomonas	Cellulosimicrobium	Rhodopirellula	Moraxella	Streptomyces	Anaerotruncus	Tepidicella	Saccharophagus	Granulicatella	Gemmiger	Plesiomonas	Subdoligranulum	Alloprevotella	Agrococcus	Janthinobacterium	Solobacterium	Mariniluteococcus	Aerococcus	Dermacoccus	Oxobacter	Salmonella	Erwinia	Deinococcus	Luteococcus	Chthoniobacter	Zavarzinella	Roseomonas	Hydrotalea	Anoxybacillus	Leclercia	Morganella	Dyella	Belnapia	Pseudoramibacter	Tannerella	Cellulomonas	Rheinheimera	Actinobaculum	Gaiella	Alkanindiges	Methylobacterium	Roseburia	Desulfitobacterium	Peptoniphilus	Flavonifractor	Megasphaera	Psychrobacter	Parasutterella	Marinilactibacillus	Anaerofustis	Arenimonas	Balneola	Hespellia	Halomonas	Serinicoccus	Christensenella	Undibacterium	Pediococcus	Ectothiorhodosinus	Rhodopseudomonas	Actinomycetospora	Erythrobacter	Methylocystis	Pseudomonas	Caulobacter	Micropruina	Blautia	Micromonospora	Novosphingobium	Brachyspira	Moryella	Acidaminococcus	Eggerthella	Desulfovibrio	Pseudoflavonifractor	Lysobacter
MBD470	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	880	0	2	0	0	161	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	7	0	607	0	0	1	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	317	0	0	0	0	0	10765	0	0	0	0	0	0	0	0	0	0	0	29	0	0	8	40	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	5	0	0	0	0	21	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	981	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	3	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	1	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	106	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	15	414	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	541	0	0	0	0	0	1	0	0	0
MBD472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1396	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	1	0	0	60	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5930	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	1297	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	2	1520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	298	0	0	0	0	0	37	0	1	0
MBD506	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2128	0	0	0	0	19	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3515	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4686	0	0	2	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	537	0	0	32	3	1	242	0	0	0	0	0	0	22	0	0	0	0	0	0	4	0	15	2	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	25	0	0	9	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	57	0	0	0	0	11	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	7	0	0	0	0	0	0	56	0	0	0	0	0	0	1262	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	2	1	0	23	0	11	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1832	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	3	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	389	0	9	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	0	0	2	2662	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	226	0	0	0	0	197	2	1	0	0
MBD017	0	97	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	62	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	454	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	8393	0	0	0	0	0	1	0	0	0	0	0	11	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	1	0	0	938	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	46	0	0	332	0	6	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	12	0	6	207	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	2	386	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	5	2036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	28	0	0	0	0
MBD159	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3768	0	0	0	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	0	0	1096	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	3	0	1078	0	0	0	0	0	0	530	0	0	41	1	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	1	1572	8	0	0	0	0	4838	0	0	0	0	0	0	0	0	0	0	0	11	0	0	17	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	12	0	1	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	1	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	1	0	0	0	0	6	1386	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	762	23	0	0	0	0	0	0	16	0	0	11	8	7	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	3	10	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	325	0	0	0	0	0	0	0	0	0	0	4	32	0	0	0	0	0	6	0	0	0	363	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	0	0	31	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	5	0	20	0	0
MBD402	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1799	0	0	0	0	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	6	2	7	2214	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	748	0	0	0	0	0	0	0	0	0	0	0	2	0	0	321	0	0	0	0	0	0	0	0	0	0	0	1139	0	0	0	0	2	3	243	0	30	89	21	0	50	0	0	0	0	0	0	0	2	0	0	0	0	0	89	0	120	5	0	0	0	0	4434	6	0	0	0	0	0	0	0	0	0	0	34	0	0	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0	1	850	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	1	59	0	0	0	1	9	0	0	4	0	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	172	0	0	0	0	0	0	199	0	0	17	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	2	5	0	0	3	0	0	0	0	0	0	0	944	3	0	0	0	0	0	0	58	0	1	47	25	7	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	2	3	0	0	0	0	24	0	4	0	0	22	0	411	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	57	4	0	0	0	0	0	1	0	0	0	135	0	5	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	774	0	0	5	53	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	31	0	0	542	0	0	0	0	10	1	27	0	0
MBD111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1206	0	0	0	0	0	0	0	0	0	151	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	58	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	1450	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	1	0	23	0	0	2	24	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	13	23	0	1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	4	2105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	0	64	1	0	0	0
MBD482	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1006	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	168	0	0	0	0	0	0	0	0	0	1	0	42	0	0	0	3	1	0	363	0	95	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	769	1	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	36	0	0	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	11	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	640	0	0	0	0	0	0	1087	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	91	0	0	6	0	14	0	4	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	791	0	20	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	79	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	27	0	0	27	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	364	0	0	0	0	25	1	0	0	0
MBD195	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1069	0	0	0	0	99	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	893	0	80	4	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11389	0	0	0	0	0	0	0	0	0	0	0	85	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	94	0	0	0	0	2	0	0	1690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	2052	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	24	0	0	0	2	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	0	0	1	1204	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	881	0	0	0	0	16	0	0	0	0
MBD480	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	456	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	6865	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	1	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	583	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	12	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	2	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	37	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	324	0	0	4	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	459	0	0	0	0	0	1	0	0	0
