	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-1	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-2	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-3	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-4	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-5	sample-60	sample-61	sample-62	sample-63	sample-64	sample-6	sample-7	sample-8	sample-9
ITS_OTU_1	0	5828	46474	4269	16461	6004	1024	0	5053	5124	4970	488	14143	0	7071	492	15142	4308	8806	12431	11427	15505	12127	2393	13340	16043	33272	4455	17688	20015	55	420	74	680	11212	3162	4393	32273	28	7459	31218	21112	824	0	24619	12860	27506	35197	2154	1682	8032	2440	13398	15517	3490	876	9556	11114	30354	1740	21413	22281	3958	20501
ITS_OTU_2	280	358	282	5365	80	103	30	208	7	305	710	213	154	1692	5664	265	99	148	131	121	121	434	17	12	4	0	330	541	328	430	1887	578	2135	131	105	89	178	369	4155	12	462	83	279	0	107	124	36	1215	296	43	45	427	109	82	0	85	3116	12	80	988	354	732	0	53
ITS_OTU_3	3	17	24	358	50	115	4	0	0	23	10	36	0	8	0	0	4	61	157	0	80	586	488	10	47	0	225	15	0	8422	53	22	338	4	216	67	17	29	119	0	38	3	0	0	32	0	0	0	11	0	0	0	0	0	0	241	0	0	0	20	45	2002	37	0
ITS_OTU_4	0	9	0	100	0	0	0	0	0	0	0	0	5	0	0	0	0	949	0	0	0	0	64	0	0	4959	0	0	0	0	0	93	0	0	0	0	0	0	0	0	287	69	0	0	47	0	0	14	0	0	0	0	169	0	0	0	0	0	0	0	91	137	0	0
ITS_OTU_5	2	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	180	0	0	0	36	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_6	0	10	899	45	6523	0	11	0	0	0	398	0	0	0	172	0	591	11091	32	0	69	456	221	12	78	1596	0	64	95	2069	11	9	37	0	769	0	7	0	0	60	0	284	211	10	290	0	0	0	0	0	2	0	1111	515	17	0	2	5	12	0	301	760	23	197
ITS_OTU_7	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_9	0	0	275	0	0	0	0	0	0	0	28	0	0	0	0	35	0	0	0	0	15	102	0	0	0	123	0	0	93	0	0	0	0	0	97	0	0	0	0	0	0	0	212	0	0	0	0	0	31	0	0	0	0	0	0	0	0	244	0	32	0	0	0	0
ITS_OTU_10	0	0	42	11	0	0	0	0	0	0	7	0	0	0	4	0	9	561	0	0	4	15	10	10	19	102	16	15	5	104	0	5	0	0	82	0	0	0	0	4	17	14	7	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	8
ITS_OTU_11	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_12	0	0	99	99	0	0	0	0	0	6	0	0	4	0	50	0	12	881	0	0	0	80	0	0	11	179	0	16	0	0	15	0	0	0	0	0	0	0	0	0	0	53	54	0	25	5	0	3	10	0	9	11	19	34	0	0	0	0	0	0	43	12	0	0
ITS_OTU_13	0	0	24	0	0	0	0	129	0	0	0	0	2	0	0	0	0	442	4	0	7	598	0	0	3	26	0	0	0	0	0	11	0	0	12	0	0	0	0	0	0	0	27	0	26	0	0	0	0	0	0	0	0	140	0	0	0	3	0	7	46	28	0	0
ITS_OTU_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	15	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
ITS_OTU_15	8	0	15	0	19	38	0	2	0	0	0	6	8	0	10	0	25	557	0	11	0	476	22	0	0	106	31	108	0	0	0	29	0	0	97	13	0	28	0	0	0	47	26	4	26	43	0	0	0	0	18526	6	2	25	0	54	6	5	4	0	18	15	0	108
ITS_OTU_16	25	0	0	0	10	125	0	0	17	0	0	0	0	67	160	39	375	0	0	0	5	0	0	15	0	18	16	503	3	970	435	84	0	1075	4	40	3094	0	47	0	10	0	0	0	241	0	2	5	0	0	0	0	0	893	0	0	0	1061	0	131	0	65	0	2
ITS_OTU_17	0	0	28	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	22	0	0	0	2	12	0	0	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0
ITS_OTU_18	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_19	0	0	1013	15	6	0	0	0	0	0	9	0	0	0	25	37	5	953	0	0	21	102	17	0	0	82	0	5	3	10	0	0	0	0	31	0	0	20	0	0	0	67	36	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	125	7	50
ITS_OTU_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	21	0	0	0
ITS_OTU_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_22	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0
ITS_OTU_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_24	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	14	0	0	0	0
ITS_OTU_25	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	30	0	0	0	2	14	0	0	0	0	35	0	0	4	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0
ITS_OTU_26	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ITS_OTU_27	0	10	105	49	0	0	0	0	0	0	0	0	0	0	531	0	0	17	20	0	0	189	94	0	0	333	0	0	68	137	0	0	0	0	0	0	0	5	0	0	0	158	0	0	0	0	0	0	0	0	0	0	69	60	0	0	0	13	2	0	0	42	0	32
ITS_OTU_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ITS_OTU_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_30	0	0	988	18	3	0	0	0	0	49	12	4	0	0	161	38	9	1067	0	0	25	134	42	0	0	103	0	4	17	9	0	0	0	0	68	0	0	21	0	0	28	85	145	18	7	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	163	200	9	59
ITS_OTU_31	0	0	53	0	0	0	0	0	0	0	13	0	0	0	9	0	0	275	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ITS_OTU_32	0	0	3786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	12	0	0	47	0	4	0	0	0	0	0	0	199	76	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ITS_OTU_33	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	490	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	509	0	0	0	0	0	0	5	9	0	0
ITS_OTU_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_36	0	0	195	0	0	0	0	0	0	0	0	0	0	0	286	0	0	3457	0	0	0	220	0	33	30	138	162	0	59	0	8	0	0	0	65	0	0	67	0	193	307	93	0	17	211	0	0	0	8	0	0	0	0	13	6	0	0	0	0	0	117	144	3	96
ITS_OTU_37	0	0	8	0	0	0	0	0	0	0	0	2	0	0	11	0	0	133	0	0	0	6	0	0	0	6	0	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ITS_OTU_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_41	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_43	0	0	17	0	0	0	0	0	0	78	7	8	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	17	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_44	0	0	126	64	0	0	0	0	0	0	0	0	0	0	0	9	0	0	151	35	0	0	244	0	127	0	0	0	0	6152	167	0	41	113	27	4	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2062	0	0
ITS_OTU_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_OTU_46	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
