	Slackia	Peptostreptococcus	Brachybacterium	Peptococcus	Lawsonia	Microbacterium	Brevibacterium	Turicibacter	Oscillibacter	Sphaerochaeta	Hydrogenoanaerobacterium	Coprobacillus	Anaerofustis	Vagococcus	Parvimonas	Klebsiella	Nosocomiicoccus	Kordia	Tepidimonas	Kluyvera	Luteococcus	Brachymonas	Peptoniphilus	Abiotrophia	Paenibacillus	Pasteurella	Lactobacillus	Bradyrhizobium	Victivallis	Johnsonella	Serratia	Bilophila	Pseudoxanthomonas	Acetanaerobacterium	Olsenella	Megasphaera	Elizabethkingia	Pediococcus	Enterococcus	Granulicatella	Porphyrobacter	Enterorhabdus	Phyllobacterium	Papillibacter	Campylobacter	Christensenella	Marvinbryantia	Macrococcus	Sporobacter	Aggregatibacter	Treponema	Edwardsiella	Fulvivirga	Aeromonas	Paracoccus	Mobiluncus	Raoultella	Pseudoramibacter	Grimontella	Coriobacterium	Devosia	Bacillus	Paraprevotella	Gemmiger	Robinsoniella	Solobacterium	Mycoplasma	Rummeliibacillus	Pyrobaculum	Microlunatus	Denitrobacterium	Phascolarctobacterium	Sphingobium	Leuconostoc	Prevotella	Peptoclostridium	Butyrivibrio	Paraeggerthella	Anaerococcus	Anaerobiospirillum	Blautia	Flavobacterium	Parabacteroides	Asteroleplasma	Dialister	Pseudobutyrivibrio	Lemna	Comamonas	Arthrobacter	Oribacterium	Salmonella	Cronobacter	Tannerella	Moraxella	Sutterella	Anaerovibrio	Corynebacterium	Negativicoccus	Anaerosporobacter	Sanguibacter	Cardiobacterium	Cupriavidus	Enterobacter	Brevibacillus	Streptococcus	Odoribacter	Sphingobacterium	Cellulosilyticum	Microcystis	Hafnia	Lachnobacterium	Ruminococcus	Lachnoanaerobaculum	Acetivibrio	Erysipelothrix	Butyricimonas	Vibrio	Anaerotruncus	Thermotoga	Faecalibacterium	Coprobacter	Propionibacterium	Fusibacter	Bifidobacterium	Streptomyces	Cloacibacillus	Desulfitobacterium	Elusimicrobium	Lachnospira	Succinatimonas	Listeria	Intestinimonas	Gordonia	Ornithinimicrobium	Veillonella	Finegoldia	Atopobium	Rathayibacter	Anaerofilum	Anoxybacillus	Ochrobactrum	Methylobacterium	Barnesiella	Actinobacillus	Actinomyces	Allisonella	Subdoligranulum	Parvibacter	Zymophilus	Oscillospira	Collinsella	Magnetococcus	Weissella	Xanthomonas	Helicobacter	Aeromicrobium	Pseudomonas	Spiroplasma	Hespellia	Pseudonocardia	Oxalobacter	Stenotrophomonas	Cloacibacterium	Alloprevotella	Proteus	Helcococcus	Morganella	Ethanoligenens	Sarcina	Leptotrichia	Parasutterella	Micrococcus	Kocuria	Dietzia	Gordonibacter	Murdochiella	Desulfocurvus	Syntrophococcus	Kingella	Neisseria	Rikenella	Herbaspirillum	Howardella	Bacteroides	Francisella	Mitsuokella	Anaerovorax	Mogibacterium	Roseburia	Citrobacter	Alloiococcus	Stappia	Rothia	Selenomonas	Fusobacterium	Eikenella	Capnocytophaga	Eubacterium	Porphyromonas	Sneathia	Erwinia	Gemella	Adlercreutzia	Cryptobacterium	Stomatobaculum	Dickeya	Agrobacterium	Anaerostipes	Escherichia/Shigella	Curtobacterium	Ureaplasma	Lysinibacillus	Flavonifractor	Sedimentibacter	Sphingomonas	Staphylococcus	Desulfovibrio	Varibaculum	Actinobaculum	Coprococcus	Lactonifactor	Halomonas	Arcanobacterium	Lautropia	Mesorhizobium	Anaeroglobus	Allobaculum	Fusicatenibacter	Lactococcus	Pyramidobacter	Xylanibacter	Pantoea	Pseudoflavonifractor	Butyricicoccus	Acholeplasma	Delftia	Haemophilus	Acetomicrobium	Scardovia	Brachyspira	Kosakonia	Facklamia	Eggerthella	Massilia	Gardnerella	Acidaminococcus	Lelliottia	Catabacter	Pluralibacter	Acinetobacter	Alistipes	Dorea	Holdemania	Cetobacterium	Acetobacterium	Akkermansia	Clostridium	Desulfotomaculum	Succinivibrio	Turicella	Terrahaemophilus	Megamonas	Catenibacterium	Coraliomargarita	Acetobacter	Fretibacterium	Alloscardovia
R251	3	0	0	0	0	0	0	1494	2044	0	46	12	20	0	2	0	0	0	0	0	0	0	2	0	1	0	2106	0	0	0	0	1956	0	0	0	4	0	0	698	5	0	0	0	0	0	24	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	6278	0	33	43	13	0	0	0	0	9538	0	5769	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	1	1	3418	514	0	0	0	0	0	30	0	0	0	0	0	44	0	8437	0	0	0	2562	0	0	0	0	0	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	174	1	1	0	0	0	0	0	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	53070	0	10	9	0	9	0	0	0	0	0	1202	0	0	5869	0	0	0	2	0	0	0	1	0	16085	93	0	0	0	2529	0	0	0	0	0	0	0	145	0	0	0	0	0	0	10402	6	0	0	0	358	223	0	0	0	0	0	0	0	0	1581	0	0	0	0	18	0	0	1405	287	0	0	0	0	13382	0	0	0	0	3	0	0	0	0	0
I60	0	0	0	0	0	0	0	1986	1895	0	3	48	7	0	0	0	0	0	0	0	0	0	0	0	1	0	95	0	0	0	0	208	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	896	0	2	0	2	0	0	0	0	0	1747	0	0	5900	0	8	0	0	0	13346	0	4104	0	631	5	0	9	0	0	0	0	0	0	1966	0	4	0	0	0	0	0	0	0	578	703	0	0	0	0	0	5759	0	0	0	54	0	45	0	20809	0	1	2	1399	0	0	0	0	734	0	0	184	0	0	8	0	0	0	0	0	0	0	638	0	50	0	818	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	4	0	0	0	0	0	0	0	0	31779	0	3	13	7	3522	0	0	0	2	0	0	0	0	6021	0	0	0	16	48	0	0	0	0	985	252	0	0	0	498	0	2	3	0	0	0	3	0	0	0	0	0	0	0	1526	0	0	0	0	88	72	0	0	49	0	0	0	0	0	108	0	0	0	0	1	0	0	2086	647	26	0	0	4	6036	0	0	0	0	1	8	0	0	0	0
I04	118	0	0	7	0	0	0	302	245	0	17	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9949	0	0	0	0	0	0	0	1061	5942	0	0	4	0	0	0	0	0	4	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	3	10	0	0	18	0	0	0	0	0	0	6	0	86454	0	32	11	0	12	2821	1	0	0	136	0	0	3	0	49	0	0	0	0	278	0	0	0	0	0	0	0	0	0	718	0	0	0	0	0	0	16	0	0	0	0	0	0	0	3043	0	2	0	861	0	0	0	6	9	0	0	0	0	0	127	0	0	0	0	0	0	0	0	1	26	2232	90	0	0	0	898	0	5	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	11	0	0	4	178	0	17452	1	1	83	0	0	0	0	465	2	0	0	1248	0	0	0	0	2	1	0	0	1	367	43	0	1	0	42	0	0	4	8	0	0	35	0	0	0	0	0	0	0	137	0	0	3	0	0	47	0	1	155	0	0	0	0	0	6	0	0	0	0	0	0	0	2	1214	0	0	0	0	3181	0	1886	0	6	0	1161	0	0	0	0
I59	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	435	0	0	26	15	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	42	3	0	0	0	0	32966	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	11	0	6164	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	10	0	0	6658	0	0	0	0	3365	0	0	0	0	0	2921	0	0	0	0	0	0	0	0	0	60	1	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	669	0	0	42862	0	0	0	0	148	0	0	0	0	1	173	0	0	3641	0	0	0	12	0	0	0	1	0	195	1573	0	0	0	250	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	8	0	0	0	0	745	0	0	3	0	0	0	0	0	772	0	0	0	0	0	0	0	2	6	0	0	0	0	7173	0	2	0	0	0	0	0	0	0	0
I07	242	0	0	0	0	0	0	318	339	0	28	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	405	0	2	0	0	4	0	0	53	3543	0	0	5	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	7	1	0	37	0	0	0	0	0	1033	0	0	90115	0	18	6	0	3	5306	0	40	0	188	0	0	0	0	48	0	2	0	0	303	3633	2	0	0	0	0	0	2	0	11	2	0	0	0	0	0	835	0	0	0	0	0	2	0	9932	0	0	0	1353	0	0	0	0	12	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0	22	3279	173	0	0	0	591	0	4	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	4	0	0	8	93	0	9217	2	1	2378	0	0	0	20	519	0	0	0	8080	0	0	0	0	0	0	0	0	0	112	179	0	0	2	87	0	0	0	47	0	0	446	0	0	0	0	0	0	0	149	0	0	0	0	6	34	0	0	11	0	0	0	0	0	14	1	0	0	0	3	0	0	2	1479	2	0	0	0	1281	0	0	0	0	1311	7630	0	0	0	0
I29	167	0	0	0	0	0	0	22	3090	0	79	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	182	0	16	0	0	76	0	0	8	5	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	1	0	0	0	0	0	0	0	70008	0	158	31	0	0	11516	0	106	0	127	3	0	13	0	0	0	0	17	0	223	0	4	0	0	0	0	0	0	0	131	30	0	1	0	0	2	4274	0	0	0	20	0	18	0	10797	0	0	0	7151	0	0	0	7446	6	0	0	10	0	0	13	0	0	0	0	0	0	0	0	0	8	3168	89	1	0	4	856	0	2	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	4	0	0	6	215	0	1	6	9	1195	0	0	0	4	2	0	0	0	4772	0	0	0	0	0	0	0	0	0	2764	77	0	221	0	269	0	0	0	12	0	0	1325	1	0	0	0	0	0	0	260	0	0	0	0	1	188	0	0	28	0	0	4	0	0	27	0	0	0	0	18	0	0	147	1397	11	0	0	0	2023	0	1770	2	0	602	7438	0	0	0	0
I35	152	2	0	192	0	0	0	386	6157	0	26	0	0	0	4	25	0	0	0	0	0	0	0	0	10	0	520	0	84	0	0	4	0	0	375	2595	0	0	210	0	0	1	0	1	6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	0	23	548	0	0	0	0	0	7241	0	0	42788	0	973	11	6	1	12252	0	3448	0	0	7	0	0	0	0	0	2	28	0	66	0	3	0	0	0	0	0	5	0	219	35	0	0	0	0	0	8787	0	23	0	83	0	76	0	15062	10	4	0	1269	0	0	0	1747	27	0	0	9	0	0	58	0	0	0	2	0	0	0	34	0	22	72	125	0	0	3	456	0	161	0	0	0	0	0	0	2	20	0	0	1	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	26	12	700	0	0	0	10	3	2	0	0	9304	0	0	0	2	0	6	0	0	0	342	99	0	0	0	380	0	0	0	367	0	0	569	3	0	0	0	0	0	2	215	0	0	0	0	2	209	0	0	7	0	0	0	0	0	14	2	0	0	0	20	0	0	58	2423	5	0	0	0	3026	0	5343	0	0	106	2404	0	0	0	0
I10	168	4	0	0	0	0	0	233	164	0	1	0	0	0	1	13	0	0	0	0	0	0	2	2	0	0	49443	0	17	0	0	0	0	0	54	22612	0	0	1448	4	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	33	38366	1	0	0	2	0	2027	0	18	0	54	0	0	6	0	0	0	5	0	0	302	0	0	0	0	0	0	0	1	0	601	0	0	0	0	0	0	176	2	0	0	0	0	0	0	1618	0	0	0	5576	0	0	0	0	10	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	49	991	22	1	0	0	416	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	697	0	9	0	0	0	0	0	0	0	0	4	0	0	0	125	0	0	1	0	184	0	0	0	10	1	5	2	0	599	0	0	0	14	2	0	0	0	0	79	23	0	0	0	10	0	0	0	0	0	0	12	0	0	0	0	0	0	0	39	73	0	0	0	0	27	0	0	71	0	2	0	0	0	16	0	0	0	0	2	0	0	24	448	0	0	0	0	816	0	0	0	9	4	1	0	0	0	0
R223	0	24	0	0	0	0	0	374	63	0	1	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	79	0	0	0	0	211	0	2	0	1086	0	0	1	7	0	0	0	0	3372	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	59	0	10	0	15	0	31330	0	1035	0	209	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	12	0	900	8	0	0	0	14	0	558	2	0	0	0	0	0	0	26401	0	0	0	6767	0	0	0	0	0	0	0	0	0	0	13412	6	0	0	0	0	1	0	0	0	62	1	1771	0	0	0	1451	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37679	0	1	0	0	0	0	0	0	6	0	134	51	0	214	0	0	1	176	0	0	0	1	0	257	295	0	0	0	175	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	20	5	0	0	357	0	0	0	0	0	241	0	0	0	0	0	0	0	5	0	10	0	0	0	3919	0	0	0	39	2	2	0	0	0	0
I03	0	20	0	0	0	0	0	2	6	0	1	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	62172	0	0	0	0	0	0	0	2	15	0	0	6	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	27	0	0	0	0	0	92	0	2	93182	0	0	0	0	0	199	0	9	0	0	0	0	0	0	7	0	0	0	0	2239	0	0	0	0	0	0	0	5	0	7360	0	0	0	0	0	0	32	58	0	0	0	0	0	0	6605	0	0	0	14	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	5	0	350	0	2	0	0	0	0	0	482	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	60	0	0	0	0	2	0	0	0	652	4	0	0	0	8	0	0	0	80	0	0	2	0	0	10	1575	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	11	0	0	0	2	0	0	0	10	0	0	0	0	0	4	0	0	2	0	0	0	0	25	0	0	0	0	0	1614	0	0	0	1	988	59	0	0	0	0
