	Erwinia	Acetoanaerobium	Howardella	Dermacoccus	Cardiobacterium	Bulleidia	Veillonella	Acholeplasma	Oxalobacter	Kandleria	Insolitispirillum	Saccharofermentans	Methanosphaera	Catabacter	Peptostreptococcus	Propionibacterium	Christensenella	Flavonifractor	Anaerofustis	Barnesiella	Atopobium	Lawsonia	Turicibacter	Cellulosibacter	Adlercreutzia	Pediococcus	Peptoclostridium	Marvinbryantia	Dialister	Thauera	Anaerofilum	Bacillus	Anaerophaga	Lactonifactor	Campylobacter	Anaerosinus	Tannerella	Rothia	Finegoldia	Morganella	Caloramator	Butyrivibrio	Vampirovibrio	Fusobacterium	Sporobacter	Macellibacteroides	Mitsuokella	Parvibacter	Paenibacillus	Actinobaculum	Brassicibacter	Azospirillum	Eubacterium	Roseburia	Flexibacter	Oxobacter	Parasutterella	Clostridium	Megasphaera	Leuconostoc	Lachnoanaerobaculum	Solobacterium	Slackia	Leptotrichia	Sporacetigenium	Piscinibacter	Faecalibacterium	Anaerostipes	Staphylococcus	Pasteurella	Allisonella	Megamonas	Varibaculum	Granulicatella	Blattabacterium	Lachnobacterium	Rikenella	Allobaculum	Sorangium	Parvimonas	Subdoligranulum	Neisseria	Facklamia	Mangroviflexus	Lactobacillus	Selenomonas	Akkermansia	Collinsella	Stomatobaculum	Thermovenabulum	Oscillospira	Anaeroglobus	Hydrogenoanaerobacterium	Caldicellulosiruptor	Cerasicoccus	Pelagicoccus	Succiniclasticum	Coriobacterium	Metabacterium	Syntrophococcus	Mobiluncus	Fusicatenibacter	Schlegelella	Succinatimonas	Anaerococcus	Odoribacter	Coraliomargarita	Acidaminococcus	Butyricicoccus	Lachnospira	Desulfotomaculum	Asteroleplasma	Burkholderia	Peptococcus	Lutispora	Pantoea	Cryptobacterium	Cyanophora	Desulfonauticus	Catonella	Actinobacillus	Victivallis	Elusimicrobium	Syntrophomonas	Natranaerovirga	Acetitomaculum	Anaerovorax	Prevotella	Enterococcus	Catenibacterium	Cellulosilyticum	Anaerosporobacter	Anaerorhabdus	Hippea	Porphyromonas	Acidaminobacter	Pectinatus	Bacteroides	Hespellia	Halomonas	Succinivibrio	Spinacia	Ethanoligenens	Geosporobacter	Comamonas	Eggerthia	Peptoniphilus	Geopsychrobacter	Brevibacterium	Eikenella	Helianthus	Parasporobacterium	Yersinia	Pseudomonas	Bifidobacterium	Pyramidobacter	Alloprevotella	Scardovia	Aggregatibacter	Acetanaerobacterium	Eggerthella	Robinsoniella	Gracilibacter	Pseudoflavonifractor	Methanomassiliicoccus	Kluyvera	Emticicia	Desulfonispora	Alkaliphilus	Parabacteroides	Mogibacterium	Oribacterium	Corynebacterium	Ruminococcus	Shewanella	Thermanaerovibrio	Gardnerella	Daucus	Erysipelothrix	Sporobacterium	Methanobrevibacter	Coprobacter	Escherichia/Shigella	Rhodospirillum	Holdemania	Alkalibaculum	Acetatifactor	Olsenella	Negativicoccus	Lautropia	Citrobacter	Actinomyces	Alkalibacter	Gemella	Acinetobacter	Dorea	Sarcina	Intestinimonas	Filifactor	Dehalobacterium	Pseudobutyrivibrio	Xylanibacter	Serratia	Proteiniphilum	Vallitalea	Oscillibacter	Stenotrophomonas	Papillibacter	Paraeggerthella	Anaerotruncus	Enterobacter	Carnobacterium	Cetobacterium	Enterorhabdus	Shuttleworthia	Phascolarctobacterium	Cloacibacillus	Dethiosulfatibacter	Cronobacter	Desulfovibrio	Denitrobacterium	Desulfomicrobium	Gemmiger	Haemophilus	Coprobacillus	Spiroplasma	Paraprevotella	Achromobacter	Defluviitalea	Coprococcus	Alloscardovia	Butyricimonas	Streptococcus	Abiotrophia	Thermovirga	Blautia	Murdochiella	Lactococcus	Helicobacter	Gallicola	Acetivibrio	Alistipes	Sutterella	Weissella	Fastidiosipila	Epulopiscium	Klebsiella	Bilophila	Gordonibacter
Con_S0093	0	0	51	0	0	0	11	0	0	0	0	0	0	0	0	0	2	256	0	1860	0	0	4	0	13	0	1	0	79	0	0	0	0	0	0	0	0	8	1	0	0	17	3	0	4	0	0	0	0	0	0	0	4724	4368	0	0	159	483	0	0	0	3	0	0	0	0	18991	869	1	0	55	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	149	1	0	41	0	1	0	0	0	0	0	0	0	0	111	6	0	0	129	0	0	2	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0	0	0	0	0	11872	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	25	0	0	0	5	0	0	0	0	0	573	0	0	0	4890	0	0	0	0	0	0	0	18	1	2	49	0	0	0	0	0	0	7	0	0	0	629	0	41	0	3	0	0	0	0	0	53	0	0	1	6	0	0	0	2	0	1902	0	0	0	2	4	0	375	50	1	0	1908	0	0	181	0	148	471	0	0	725	0	0	0	0	3	1169	172	0	0	0	0	217	0
IBS_S0058	0	0	0	0	0	0	836	0	0	0	0	6	0	0	0	0	0	268	0	1466	0	0	18	0	8	0	2	0	291	0	2	0	0	0	26	0	0	6	0	0	0	22	0	1	4	0	0	0	0	0	0	0	7300	2290	0	0	1132	921	8	0	0	0	0	0	0	0	13881	176	0	2	0	0	0	0	0	0	0	0	0	0	30	0	0	0	7	0	0	616	0	0	367	0	0	0	0	0	0	0	0	0	0	193	0	0	0	234	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	10876	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	503	0	0	0	3	2	11	0	0	19	0	0	0	0	0	249	0	8	0	1934	0	0	0	0	0	0	4	0	19	0	3	0	0	0	0	0	0	13	0	0	0	373	71	24	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	1	406	0	2	0	2	0	0	621	1404	0	0	1	0	0	1582	0	148	450	0	0	298	0	5	0	0	0	1050	0	0	0	0	0	118	0
IBS_S0087	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	7	634	0	1573	1	0	0	0	12	0	0	0	22384	0	0	0	0	1	2	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	8944	725	0	0	0	466	0	0	0	0	2	0	0	0	17566	1044	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	2	466	6	0	651	0	2	0	0	0	0	0	0	1	0	74	0	0	0	201	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3113	0	2702	0	0	0	0	8	0	0	5700	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	396	0	630	0	0	14	2	0	0	7	0	0	0	0	0	1067	0	0	0	1480	0	0	3	0	0	0	0	14	0	0	28	0	0	0	1	0	0	4	0	0	0	1560	0	279	0	1	0	0	0	0	0	226	0	0	0	12	0	0	0	0	0	0	0	0	0	1308	0	0	4046	0	0	0	1	0	0	438	0	18	3	0	0	1473	0	0	0	0	1	671	395	0	0	0	0	345	7
IBS_S0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	586	0	839	0	0	5	0	0	0	1	2	5350	0	0	0	0	3	0	0	0	6	0	0	0	28	0	0	0	0	0	0	0	0	0	0	11025	3272	0	0	1	1003	0	0	0	1	0	0	0	0	19956	707	0	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	18	0	0	916	1	0	22	1	0	0	0	0	0	0	0	0	0	442	9	0	0	380	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	17298	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	104	0	0	0	0	0	123	0	0	7	0	0	0	0	0	2201	0	0	0	4779	0	0	0	0	0	0	0	1	17	0	15	0	0	0	0	0	0	21	0	0	0	930	0	92	0	0	1	0	0	0	1	3	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	918	0	0	355	0	0	3293	0	4	0	0	3	137	0	0	0	0	0	370	0
IBS_S0076	0	0	0	0	0	0	47	0	0	0	0	1	0	0	0	0	4	373	1	1	0	0	0	0	12	0	0	0	3211	0	0	0	0	1	0	0	0	8	0	0	0	24	0	2	13	0	0	0	0	0	0	0	6423	2339	0	0	80	420	0	0	0	0	0	0	0	0	25640	682	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	2	0	1717	321	0	0	42	0	1	0	0	0	3	0	0	0	0	281	0	0	0	117	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	1	1	0	1	0	0	14815	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	620	0	0	0	3	2	31	0	0	24	0	0	0	0	0	1	0	0	0	4065	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	164	0	158	0	0	0	0	0	0	0	87	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	403	34	0	0	0	0	0	251	0	0	87	0	0	545	0	2	0	0	6	1571	550	0	0	0	0	209	10
Con_S0091	0	0	0	0	0	0	14	0	0	0	0	4	0	0	0	0	20	782	0	2990	1	0	65	0	41	0	0	0	1180	0	2	0	0	0	0	0	0	0	0	0	1	65	1	0	31	0	294	0	0	0	0	0	21774	442	0	0	73	1417	135	0	0	0	1	0	0	0	11125	64	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	4	3	20	208	0	0	206	0	3	0	0	0	0	0	0	0	0	110	0	0	0	435	0	943	2	15	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	17229	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	156	0	0	0	0	29	0	0	1	15	0	0	0	0	0	854	0	0	0	2034	0	0	0	0	0	0	0	111	0	0	13	1	0	0	0	0	0	0	0	0	0	333	0	105	0	3	0	0	0	0	0	86	5	3	0	8	0	0	0	0	0	1	0	2	0	0	1	0	2940	3	1	0	0	0	0	3637	0	122	91	0	0	271	0	22	0	0	4	5015	981	0	0	0	0	136	1
Con_S0031	0	0	138	0	0	6	2	0	24	0	0	87	0	3	0	0	11	1796	0	1272	5	0	51	0	10	0	1	0	1795	0	1	0	0	0	4	0	0	6	0	0	0	20	0	0	42	0	0	0	0	0	0	0	6408	338	0	0	35	941	0	0	0	32	2	0	0	0	4519	244	0	0	22	1	0	0	0	0	0	0	0	0	42	0	0	0	0	0	2903	1600	0	0	522	0	4	0	1	0	114	0	0	0	0	357	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	15	0	3	0	0	0	0	3	0	0	7858	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	2	552	6	1	4	0	249	8	0	1	18	0	1	0	0	0	357	0	0	0	3026	0	0	0	0	0	0	59	62	43	0	11	0	0	0	0	0	0	16	0	0	0	456	0	96	2	1	0	0	0	0	0	85	0	17	0	22	0	0	0	5	0	0	53	0	0	1	0	0	2062	0	2	0	0	0	0	3418	0	368	25	0	0	307	0	0	0	0	1	2098	51	0	0	0	0	259	9
IBS_S0005	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	536	0	1	0	0	1	0	16	0	0	0	5069	0	0	0	0	0	0	0	0	1	0	0	0	21	0	0	7	0	0	0	0	0	0	0	6318	2307	0	0	1	434	0	0	0	0	0	0	0	0	34648	457	0	0	0	0	0	0	1	0	0	0	0	0	55	0	0	0	9	0	530	0	0	0	83	0	1	0	0	0	0	0	0	0	0	176	0	0	0	132	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	15	0	0	0	2	0	0	0	0	0	10179	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	158	0	0	4	0	10	19	0	0	4	0	0	0	0	0	1432	0	0	0	2781	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	2	0	2	0	1201	0	43	0	0	0	0	0	0	0	180	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2370	4	0	0	0	1	1	1393	0	0	80	0	0	656	0	7	0	0	4	536	342	0	0	0	0	0	8
Con_S0137	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	4	782	0	1	0	0	1	0	0	0	0	0	2983	0	0	0	0	1	0	0	0	0	0	0	0	32	0	0	4	0	0	0	0	0	0	0	14888	1701	0	0	0	1009	0	0	0	0	0	0	0	0	16801	1060	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	1	0	1	0	44	0	0	0	0	0	0	0	0	0	0	374	0	0	0	227	0	0	1	111	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	8052	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	633	0	0	0	0	2	355	2	0	22	0	0	0	1	1	0	0	1	0	1336	0	0	0	0	1	0	0	0	1	0	153	0	0	0	0	0	0	0	0	0	0	381	0	43	0	0	0	0	0	0	0	88	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8387	11	6	0	0	1	0	179	0	0	68	0	0	1363	0	0	0	0	3	0	0	0	0	0	0	1	0
Con_S0144	0	0	0	0	0	0	16	0	0	0	0	16	0	1	2	0	3	552	0	486	0	0	182	0	2	0	1	0	4303	0	0	0	0	0	0	0	0	2	0	0	0	732	0	2	19	0	0	0	0	0	0	0	5014	880	0	1	26	1414	0	0	0	0	20	0	0	0	6186	129	0	0	0	0	0	0	0	2	0	0	0	0	42	0	0	0	76	0	180	485	0	0	390	0	1	0	0	0	0	0	0	0	0	86	0	0	0	92	0	0	7	61	0	381	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	20354	0	2	0	6	0	0	0	0	0	2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	10	0	1	1	11	0	0	0	0	0	194	0	2	5	2110	0	0	0	0	0	0	0	11	1	0	1	0	0	2	0	0	7	25	0	0	0	464	0	71	0	0	0	0	0	0	0	39	0	4	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1721	188	0	0	1	0	0	4224	0	71	91	0	0	335	0	2	0	0	0	962	182	0	0	0	11	54	0
