source	target	strength	group1	group2
Actinomyces	Escherichia	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Gemella	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Sediminibacterium	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Veillonella	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Bacteroides_vulgatus	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Escherichia_coli	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Gemella_haemolysans	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Sediminibacterium_salmoneum	0	DiseaseEnriched	DiseaseEnriched
Actinomyces	Veillonella_dispar	0	DiseaseEnriched	DiseaseEnriched
Alistipes	Coprococcus	0	Peripheral	Core
Alistipes	Odoribacter	1	Peripheral	Peripheral
Alistipes	Oscillibacter	1	Peripheral	Peripheral
Alistipes	Roseburia	0	Peripheral	Core
Alistipes	Blautia_faecis	0	Peripheral	Core
Alistipes	Blautia_luti	1	Peripheral	Core
Alistipes	Coprococcus_catus	0	Peripheral	Core
Alistipes	Eubacterium_rectale	0	Peripheral	Core
Alistipes	Odoribacter_splanchnicus	1	Peripheral	Peripheral
Alistipes	Oscillibacter_valericigenes	1	Peripheral	Peripheral
Alistipes	Parabacteroides_merdae	1	Peripheral	Peripheral
Alistipes	Roseburia_inulinivorans	0	Peripheral	Core
Alistipes	Ruminococcus_bromii	1	Peripheral	Peripheral
Alistipes	Ruminococcus_lactaris	0	Peripheral	Core
Allisonella	Coprococcus	1	Peripheral	Core
Allisonella	Allisonella_histaminiformans	0	Peripheral	Peripheral
Allisonella	Clostridium_lactatifermentans	0	Peripheral	Peripheral
Allisonella	Coprococcus_catus	0	Peripheral	Core
Allisonella	Eubacterium_siraeum	0	Peripheral	Peripheral
Allisonella	Roseburia_inulinivorans	1	Peripheral	Core
Alloprevotella	Bifidobacterium	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Collinsella	0	DiseaseEnriched	Core
Alloprevotella	Dorea	0	DiseaseEnriched	Core
Alloprevotella	Eubacterium	0	DiseaseEnriched	Core
Alloprevotella	Faecalibacterium	0	DiseaseEnriched	Core
Alloprevotella	Gemella	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Hydrotalea	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Lactobacillus	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Methylobacterium	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Streptococcus	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Veillonella	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Bacteroides_vulgatus	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Bifidobacterium_breve	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Bifidobacterium_longum	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Collinsella_aerofaciens	0	DiseaseEnriched	Core
Alloprevotella	Dorea_longicatena	0	DiseaseEnriched	Core
Alloprevotella	Hydrotalea_flava	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Lactobacillus_delbrueckii	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Methylobacterium_aquaticum	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Streptococcus_thermophilus	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Veillonella_dispar	0	DiseaseEnriched	DiseaseEnriched
Alloprevotella	Blumeria	0	DiseaseEnriched	Fungome
Anaerostipes	Blautia	1	Core	Core
Anaerostipes	Collinsella	0	Core	Core
Anaerostipes	Coprococcus	0	Core	Core
Anaerostipes	Dorea	1	Core	Core
Anaerostipes	Eubacterium	1	Core	Core
Anaerostipes	Faecalibacterium	1	Core	Core
Anaerostipes	Gemmiger	0	Core	Core
Anaerostipes	Roseburia	0	Core	Core
Anaerostipes	Blautia_faecis	1	Core	Core
Anaerostipes	Blautia_luti	1	Core	Core
Anaerostipes	Collinsella_aerofaciens	0	Core	Core
Anaerostipes	Coprococcus_catus	0	Core	Core
Anaerostipes	Dorea_longicatena	1	Core	Core
Anaerostipes	Eubacterium_desmolans	1	Core	Core
Anaerostipes	Eubacterium_hallii	1	Core	Core
Anaerostipes	Eubacterium_ramulus	1	Core	Core
Anaerostipes	Eubacterium_rectale	0	Core	Core
Anaerostipes	Roseburia_inulinivorans	0	Core	Core
Anaerostipes	Ruminococcus_obeum	1	Core	Core
Anaerostipes	Ruminococcus_torques	1	Core	Core
Bifidobacterium	Dialister	0	DiseaseEnriched	Core
Bifidobacterium	Escherichia	0	DiseaseEnriched	DiseaseEnriched
Bifidobacterium	Eubacterium	0	DiseaseEnriched	Core
Bifidobacterium	Faecalibacterium	0	DiseaseEnriched	Core
